,Live Spectrum 10-11-2023 10:09:49 - Spikes removed,Live Spectrum 10-11-2023 10:09:59 - Spikes removed,Live Spectrum 10-11-2023 10:10:00 - Spikes removed,Live Spectrum 10-11-2023 10:10:01 - Spikes removed,Live Spectrum 10-11-2023 10:10:02 - Spikes removed,Live Spectrum 10-11-2023 10:10:04 - Spikes removed,Live Spectrum 10-11-2023 10:10:05 - Spikes removed,Live Spectrum 10-11-2023 10:10:06 - Spikes removed,Live Spectrum 10-11-2023 10:10:07 - Spikes removed,Live Spectrum 10-11-2023 10:10:08 - Spikes removed,Live Spectrum 10-11-2023 10:10:09 - Spikes removed,Live Spectrum 10-11-2023 10:10:10 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
391.6276,19.59375,18.78257,18.691459,18.706754,19.81118,19.533889,19.079775,19.083074,18.950816,19.486684,19.202795,19.485365,
391.9091,19.527562,18.71875,18.682017,18.564344,19.593702,19.257327,18.536685,18.876844,19.194876,19.391547,19.284938,19.404406,
392.1907,19.504337,18.523023,18.89713,18.771683,19.059056,19.160587,17.982653,18.995217,19.41926,19.530803,19.201403,19.232653,
392.4723,19.512216,18.336931,19.127843,18.753976,18.919887,19.073294,17.798863,18.948294,19.385794,19.605966,19.055681,18.953692,
392.7538,19.317573,18.150342,19.554046,18.250856,19.272796,18.736494,17.790539,18.591224,19.109803,19.269435,18.950171,18.661323,
393.0354,19.19725,18.83649,19.890748,18.00975,18.921507,19.023744,18.199495,18.738496,18.656005,19.07225,18.734252,18.132506,
393.3169,18.960257,18.960257,19.65061,18.227243,18.823846,19.468717,18.261379,19.124967,18.5,19.085224,18.997114,18.119294,
393.5985,18.683453,18.755283,19.219986,18.551934,18.755283,19.035745,18.242693,19.242693,18.35634,18.854316,19.101057,18.474821,
393.8801,18.625,18.492336,19.099843,18.750786,18.693593,18.145444,18.4261,18.872643,18.111243,18.881878,18.842179,18.461872,
394.1616,18.704096,18.490231,18.830096,18.728519,18.555673,17.863288,18.547846,18.675788,18.036135,18.5635,18.649423,18.279308,
394.4432,18.801455,18.527568,18.78125,18.636045,18.448545,18.202138,17.955998,18.849228,18.555047,18.472432,18.928251,18.139727,
394.7248,18.841266,18.473718,18.493592,18.682532,18.23614,18.652721,17.587342,18.961297,18.337342,18.152327,19.055047,18.240063,
395.0063,18.753876,18.378876,18.259045,18.807331,18.128876,18.627584,17.502584,18.848919,17.833174,18.035126,18.822837,18.489663,
395.2879,18.781145,18.935602,18.094277,18.999367,17.37753,18.687289,17.686867,18.220859,18.030512,18.404985,18.532199,19.18518,
395.5694,18.645493,18.543137,18.134682,18.838371,17.73381,18.467674,17.761833,18.029099,17.537704,18.371773,18.4375,18.602409,
395.8510,18.321235,18.002252,18.403998,18.676242,18.163005,18.455512,18.114014,17.977756,17.759278,18.278998,18.435248,17.952989,
396.1326,18.003874,18.017562,18.375,18.520984,18.239734,18.660124,18.333936,18.09375,18.267562,18.222624,18.361764,17.719202,
396.4141,17.721618,17.924598,18.361239,18.419152,18.137902,18.364106,17.940368,18.116686,18.027811,17.981652,17.990826,17.482511,
396.6957,17.392241,17.996769,18.212287,18.203309,18.008262,17.920259,17.51904,18.232759,17.223781,17.897988,17.9375,17.516525,
396.9772,17.544665,17.829947,17.837236,17.670441,17.940757,17.885158,17.222007,18.121743,17.113678,18,17.972007,17.284895,
397.2588,17.828601,17.724897,17.642053,17.556353,18.038349,17.990998,17.359851,18.040252,17.544495,17.774586,17.989094,17.469267,
397.5404,17.911777,17.580889,17.744473,17.636001,17.959556,17.819834,17.323501,18.064307,17.441221,17.272109,17.75186,18.143335,
397.8219,17.979334,17.645666,17.707914,17.396168,17.947833,17.646168,17.073336,17.740421,17.770666,17.738662,17.802921,17.781501,
398.1035,17.845771,17.698966,17.96156,17.358365,17.911419,17.470771,16.945818,17.485385,17.789568,18.003148,17.341495,17.730216,
398.3851,17.53637,17.731344,18.193562,17.450094,17.762123,17.3125,16.969221,17.469221,17.59887,17.923964,16.893656,17.787782,
398.6666,17.326217,17.681416,17.964214,17.372732,17.605199,17.298783,17.131084,17.589934,17.278982,17.663883,17.09447,17.706581,
398.9482,17.403087,17.534413,17.659413,16.997817,17.381325,17.132907,17.174247,17.550828,17.171084,17.638253,17.508509,17.516416,
399.2297,17.692001,17.389017,17.769162,16.495499,17.20216,16.889017,17.125,17.404964,17.315072,17.783179,17.576517,17.755145,
399.5113,17.343484,17.02259,17.749911,16.826962,17.036875,17.221784,16.971518,17.446071,17.403393,17.875,17.84107,17.744197,
399.7929,16.875,16.890181,17.539284,17.172319,16.9375,17.52619,16.789284,17.476784,17.320534,17.711603,18.179466,17.603871,
400.0744,17.125273,17.238275,17.422993,17.035995,16.9375,17.326734,16.884762,17.591514,17.435264,17.497491,18.064736,17.771761,
400.3560,17.28125,17.365564,17.497058,16.959314,17.100245,17.157721,16.948407,17.707843,17.53125,17.478186,17.806005,17.558947,
400.6375,17.324108,17.322321,17.883938,16.851783,17.423221,17.167858,17.151792,17.440171,17.552679,17.650004,17.611604,17.299104,
400.9191,17.36626,17.28999,17.873679,16.83501,17.688821,17.32256,17.18247,16.974849,17.42744,17.943851,17.787601,17.475101,
401.2007,17.563686,17.304836,17.623814,16.749407,17.632071,17.327828,17.321351,16.796578,17.304243,18.219936,17.733485,17.538914,
401.4822,17.600344,17.361813,17.192655,16.620125,17.445812,17.287844,17.251718,17.200408,17.305906,18.133312,17.21903,17.284687,
401.7638,17.130759,17.117783,17.762514,16.670915,17.200476,17.178363,17.244472,16.720901,17.132448,17.630759,17.479576,17.141585,
402.0453,17.058032,17.169628,17.477739,17.116011,17.263378,17.209814,17.196436,16.861569,17.281223,17.504468,17.482154,17.151782,
402.3269,17.313033,17.326685,17.183554,17.1875,17.28125,17.330098,17.410196,17.212457,17.256826,17.360815,17.385239,17.351109,
402.6085,17.488185,17.372637,17.271798,16.725309,17.310137,17.257089,17.495274,17.481095,17.134452,17.545958,17.317226,17.403887,
402.8900,17.5,17.434863,17.520704,16.597705,17.13291,17.010546,17.14082,17.410205,16.94541,17.352978,17.49209,17.256592,
403.1716,17.561943,17.499443,17.345422,16.841521,17.094029,16.938057,17.001115,17.220422,16.906529,17.188893,17.592914,17.280971,
403.4532,17.559477,17.470262,17.121977,16.772936,17.380291,16.6875,16.717238,16.713459,17.041831,16.997733,17.780494,17.157006,
403.7347,17.405369,17.53839,16.971439,16.469631,17.570544,16.699996,16.695522,16.548197,17.440189,16.893754,17.732149,17.192855,
404.0163,16.917139,17.659059,16.508428,17.005619,17.176263,16.900631,17.329704,17.360606,16.965941,16.707165,17.462783,17.292487,
404.2978,17.36672,17.676015,16.655004,17.051015,17.051015,16.839922,17.176015,17.546563,16.968127,16.944534,17.749377,17.398593,
404.5794,17.502196,17.545326,17.088908,16.963908,16.954223,16.817342,17.07438,17.632038,17.216554,17.272016,17.96875,17.319538,
404.8610,17.291088,17.246142,17.050797,16.966757,16.857446,16.878858,16.992155,17.470743,17.386703,17.568351,17.904385,17.158243,
405.1425,17.028224,17.10746,16.98629,17.073184,16.79496,17.024395,17.114316,17.282053,17.464921,17.566329,17.529027,17.038105,
405.4241,16.976937,17.203375,16.97677,17.031416,16.875166,16.992146,17.203208,17.054646,17.52323,17.366647,17.046126,17.078208,
405.7056,17.302523,17.405685,17.208773,17.107304,16.995294,16.986446,17.320783,17.013554,17.379706,17.000565,16.598456,17.178087,
405.9872,17.47571,17.41495,17.47049,17.12152,17.09201,17.011577,17.214737,16.929403,17.292827,16.84375,16.53125,17.214134,
406.2688,17.283672,17.147852,17.39543,17.217539,17.177891,17.022852,16.658672,16.962774,17.206718,16.822109,16.606993,17.086563,
406.5503,17.40625,17.12021,17.268808,17.02646,17.21875,17.089603,16.828446,17.222897,17.007009,16.899241,16.903388,17.356192,
406.8319,17.355159,16.90625,17.080977,16.748636,17.12934,16.992932,16.944568,17.127976,16.8125,17.195933,17.105159,17.607887,
407.1135,17.020161,16.823801,17.0625,16.601284,16.917551,16.964983,16.917551,16.933733,16.853725,17.330008,17.017508,17.567593,
407.3950,16.658089,16.645224,17.077205,16.516545,16.768384,16.985295,16.8125,17.204034,16.935661,17.121332,17.088232,17.139716,
407.6766,16.640664,16.531172,17.031094,16.312032,16.765742,16.73379,16.843828,17.54707,17.031406,16.859258,17.281484,16.812344,
407.9581,16.822428,16.616324,17.018603,16.108382,16.96206,16.483382,16.991324,17.608382,17.043897,16.978678,17.474707,16.966031,
408.2397,16.810651,16.894416,17.1152,16.304549,17.409948,16.556583,17.111317,17.014054,17.140532,17.195266,17.158469,17.015718,
408.5213,16.70601,16.975719,17.322844,16.598323,17.360084,16.587979,17.125,16.636542,17.120427,17.120427,16.806729,16.961781,
408.8028,16.777098,16.976399,17.456949,16.901442,16.806163,16.504152,17.163899,16.765297,16.972902,16.934003,16.820149,17.175044,
409.0844,16.75135,16.93885,17.285301,17.0924,16.5326,16.448367,17.167117,16.87365,16.917117,16.9973,16.84375,17.383166,
409.3659,16.910561,16.735752,17.251437,17.103688,16.713123,16.544061,17.284124,16.884938,16.970187,17.147749,16.950311,17.373563,
409.6475,17.111182,16.567304,17.459141,17.027041,17.034864,16.615986,17.277041,16.919473,17.022236,17.343155,16.955527,17.321514,
409.9291,17.225717,16.600717,17.438628,17.162089,17.310245,16.810245,17.342622,16.960656,16.961783,17.313628,17.238523,17.289344,
