,Live Spectrum 10-11-2023 10:06:14 - Spikes removed,Live Spectrum 10-11-2023 10:06:20 - Spikes removed,Live Spectrum 10-11-2023 10:06:21 - Spikes removed,Live Spectrum 10-11-2023 10:06:22 - Spikes removed,Live Spectrum 10-11-2023 10:06:27 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,
428.7937,21.179218,21.210468,21.133282,21.608435,20.664532,
429.0752,21.327545,21.286265,21.335517,21.675412,20.927209,
429.3568,21.525377,21.356439,21.756816,21.643561,21.444316,
429.6384,21.628923,21.547699,21.932061,21.611715,21.579707,
429.9199,21.71875,21.892259,22.121502,21.579874,21.631996,
430.2015,21.921237,22.045713,22.11286,21.808377,22.097645,
430.4831,22.246528,22.303241,21.957176,22.199074,22.688657,
430.7646,22.6875,22.890625,22.078125,22.453125,22.59375,
431.0462,23.063649,23.186351,22.55549,22.59375,22.53125,
431.3277,23.294983,23.273636,23.133408,22.912369,22.480942,
431.6093,23.399409,23.496346,23.177472,23.291511,22.506841,
431.8909,23.647994,23.897994,23.058234,24.037179,22.956228,
432.1724,23.948816,24.272632,23.180362,24.752698,23.268454,
432.4540,24.228084,24.603084,23.78896,25.248376,23.680397,
432.7355,24.707448,24.789111,24.29314,25.566529,24.07439,
433.0171,25.413219,25.234606,24.937807,25.785802,24.698957,
433.2987,26.241208,25.633874,25.208719,25.936922,25.206405,
433.5802,26.858972,26.121106,26.267507,26.307576,25.820739,
433.8618,26.782916,26.507876,27.128585,26.316791,26.257876,
434.1434,27.043277,26.949527,28.037277,26.25,26.721763,
434.4249,27.64269,27.321345,28.070636,26.136202,27.057076,
434.7065,27.765942,27.708874,28.015308,27.374082,27.49746,
434.9880,27.916557,27.669737,27.888487,28.050438,28.005701,
435.2696,28.430539,28.427055,28.475672,28.805531,28.586793,
435.5512,28.73618,29.102855,28.82993,29.024811,29.149525,
435.8327,29.565982,30.028796,30.343209,29.815982,29.742837,
436.1143,29.930686,30.012251,31.048873,30.077437,29.740501,
436.3958,31.178852,30.679028,31.703745,31.251239,30.665787,
436.6774,31.379453,31.160857,31.785703,31.575937,31.2457,
436.9590,32.029784,31.355163,31.808533,33.148861,32.13098,
437.2405,32.791348,31.708174,32.534377,33.097355,32.000119,
437.5221,34.061174,32.992658,32.963907,33.599102,32.618321,
437.8037,33.957773,33.354727,32.942568,33.771113,33.146954,
438.0852,34.550393,34.454859,34.951291,35.036221,34.413286,
438.3668,35.364671,34.590552,35.360607,35.83662,34.559302,
438.6483,35.737484,36.12947,36.669823,36.71814,35.495977,
438.9299,35.352597,36.493194,37.78868,37.116833,35.989791,
439.2115,37.174085,37.492724,37.347161,38.489995,36.744543,
439.4930,37.226067,38.070926,38.040784,38.190604,36.757317,
439.7746,38.256001,39.254667,39.385001,38.631668,37.799919,
440.0561,38.59439,39.519705,39.894705,39.012825,38.707205,
440.3377,40.343393,40.912429,41.298241,41.094938,40.092205,
440.6193,41.042311,41.09651,41.676417,41.811696,40.123805,
440.9008,42.605782,42.069719,42.406216,43.192313,41.06494,
441.1824,42.905722,42.280828,42.110527,43.368915,41.548027,
441.4640,44.507776,43.638572,42.98105,44.59177,42.386028,
441.7455,45.034539,44.661564,43.867155,45.027201,42.962803,
442.0271,46.460586,45.34094,45.744646,46.451151,44.635974,
442.3086,46.594862,45.332872,46.340556,46.961065,45.430371,
442.5902,47.846037,48.016974,47.669061,48.277498,47.279374,
442.8718,48.780189,48.956037,48.165782,48.710275,47.734108,
443.1533,50.136645,49.829581,49.528596,49.321105,49.250129,
443.4349,51.084759,50.435778,50.132269,49.810413,49.683413,
443.7164,52.650066,52.547293,50.982829,51.197359,50.3125,
443.9980,53.419218,52.455821,51.45126,51.69666,50.51146,
444.2796,53.644049,53.332337,52.608628,52.069742,51.349104,
444.5611,53.995243,54.201075,53.372563,52.390896,52.086015,
444.8427,55.651137,55.422235,54.712917,53.432387,53.055227,
445.1242,56.367922,55.702882,55.253054,54.157534,53.467837,
445.4058,57.706641,56.640481,56.057432,55.335866,54.554616,
445.6874,58.662479,57.388072,56.388581,55.945975,55.282882,
445.9689,59.104631,57.598812,57.267418,56.981784,56.134447,
446.2505,60.121133,58.461916,58.508341,58.505374,56.714883,
446.5321,61.374202,59.417769,60.254562,59.355497,58.140511,
446.8136,61.920346,60.492143,61.03365,59.900793,58.97187,
447.0952,62.940033,61.709034,61.450311,61.122467,59.792089,
447.3767,63.386642,63.062964,61.576656,61.380028,60.203705,
447.6583,64.141428,63.740118,62.856867,62.488438,61.171022,
447.9399,64.757249,63.866445,64.167461,63.289805,61.956591,
448.2214,65.293419,64.066405,65.470703,64.026891,62.390475,
448.5030,66.261929,65.362019,66.01857,65.012492,63.043254,
448.7845,67.969358,66.626559,67.199018,65.441225,64.473426,
449.0661,68.795069,67.401362,67.948075,66.569464,65.642647,
449.3477,69.522827,68.558771,68.324139,67.957562,67.170653,
449.6292,70.845973,69.531081,69.938612,69.101179,68.373551,
449.9108,72.295301,70.420301,70.895111,69.988625,69.279794,
450.1924,72.484711,71.025889,71.359711,71.256442,70.057811,
450.4739,72.951154,71.879872,72.236282,72.512661,70.995128,
450.7555,73.847607,72.824449,73.507966,73.048929,71.275646,
451.0370,74.591375,73.960833,74.900104,74.050812,71.080709,
451.3186,75.478733,74.684624,75.889851,74.752876,72.019303,
451.6002,76.802514,75.030567,76.616039,75.52844,73.845117,
451.8817,77.762561,75.90102,77.331265,76.398175,75.158197,
452.1633,77.974981,77.238984,78.05871,76.631777,75.72543,
452.4448,78.678618,78.071698,78.475439,77.160222,75.800378,
452.7264,79.688249,78.403731,78.174905,78.113629,76.329385,
453.0080,80.543748,79.198075,78.854325,78.789263,77.681247,
453.2895,80.902278,80.136099,80.036041,79.084288,77.284285,
453.5711,81.403496,80.997246,80.419838,80.311089,78.990328,
453.8527,82.210786,81.697052,81.821445,80.619231,80.233488,
454.1342,82.219556,82.443095,82.257493,81.202437,81.007445,
454.4158,83.019635,83.279942,81.904532,81.880563,81.467931,
454.6973,83.370497,83.021731,81.241508,81.831661,80.919367,
454.9789,83.779434,83.581583,81.505374,82.64993,81.410281,
455.2605,84.034557,83.671318,82.420592,82.587861,81.743014,
455.5420,84.866189,83.633965,82.590762,83.251622,81.97027,
455.8236,85.222187,83.46017,81.47426,84.25858,81.635653,
456.1051,84.816599,83.962673,82.071131,83.340352,81.462529,
456.3867,85.536929,83.914645,82.140756,84.268718,82.051651,
456.6683,86.55725,84.344096,82.246558,84.407712,80.76575,
456.9498,85.555872,84.003262,82.295575,82.875662,81.684748,
457.2314,86.175991,83.521747,83.075478,83.189878,82.108734,
457.5130,86.364081,84.052695,83.155857,82.738622,82.490261,
457.7945,85.682821,85.017547,83.78994,83.481451,82.201872,
458.0761,85.426243,85.301243,83.889951,82.362217,82.26756,
458.3576,84.612698,84.702172,83.192369,83.042367,81.343685,
458.6392,83.557597,83.853285,83.39189,82.333944,81.601066,
458.9208,84.864997,84.183006,83.528277,82.002466,81.78473,
459.2023,84.330084,83.777277,83.58803,81.090651,81.740757,
459.4839,83.368759,82.479397,82.759706,82.342464,81.505943,
459.7654,82.695512,81.883595,81.914262,80.325316,80.712994,
460.0470,83.040855,82.646318,81.876499,82.066954,80.662856,
460.3286,82.95484,82.991455,81.097428,79.478098,79.274198,
460.6101,82.935231,83.160091,82.016238,81.432791,79.061802,
460.8917,82.392947,81.353147,80.257665,80.514262,78.818986,
461.1733,81.955594,81.197694,81.811003,81.442916,79.081741,
461.4548,81.758272,80.371138,80.990806,79.79007,79.102022,
461.7364,80.73187,80.266221,80.202529,79.877147,79.367963,
462.0179,79.862411,79.208782,78.091516,78.477443,78.972202,
462.2995,79.592341,78.367955,79.887842,79.245935,78.8125,
462.5811,78.126651,78.458058,77.832413,78.387917,78.21423,
462.8626,79.685182,77.183417,78.340652,77.927795,77.164786,
463.1442,77.836784,78.499637,76.160318,78.680734,76.833642,
463.4257,78.244335,77.539997,76.768919,76.88658,77.956169,
463.7073,76.801331,74.996921,75.908755,74.918241,76.495621,
463.9889,77.93508,75.955077,75.710007,75.34254,75.483724,
464.2704,74.842186,74.324485,73.328911,74.82135,75.121405,
464.5520,75.097707,74.178402,75.169702,75.419305,74.168907,
464.8335,72.538651,72.859918,74.391168,72.757401,74.286599,
465.1151,72.23828,74.704036,73.505287,72.45703,72.62179,
465.3967,71.513712,71.904693,71.96645,71.279713,70.552576,
465.6782,69.923414,72.230275,70.993597,70.994006,69.777408,
465.9598,69.111983,71.18148,70.159134,70.239315,69.788925,
466.2414,68.669113,70.289585,68.956434,69.731613,69.557972,
466.5229,67.725181,69.03222,67.185982,67.944659,68.350424,
466.8045,67.941427,69.140155,68.099918,68.075222,68.734652,
467.0860,67.079511,67.495331,67.011698,68.161777,67.151581,
467.3676,66.126629,66.454046,67.234868,67.820773,66.187714,
467.6492,65.062747,65.768898,65.454086,65.290848,66.683759,
467.9307,65.524059,66.64282,65.867334,64.833175,66.137478,
468.2123,64.250327,64.344331,64.755505,63.932504,65.271003,
468.4938,64.177594,63.765433,64.421683,64.141583,65.255528,
468.7754,63.328898,64.064066,63.490225,63.041004,64.391398,
469.0570,62.447893,64.282413,63.102617,62.550146,63.93016,
469.3385,61.628819,61.867026,61.852911,61.711137,62.560229,
469.6201,61.368239,62.328574,61.783113,61.773317,62.707782,
469.9017,61.5814,62.209539,61.548445,61.390011,61.725028,
470.1832,58.979432,60.515998,61.5,60.730475,61.451883,
470.4648,59.533599,60.086237,59.962853,58.319279,59.87385,
470.7463,59.347104,60.354508,59.952961,59.153918,59.514112,
471.0279,59.121731,60.618942,59.441684,59.162308,59.659519,
471.3095,58.215173,60.789368,59.902845,59.125,60.539454,
471.5910,57.662639,58.813195,59.333565,58.005389,59.647861,
471.8726,58.874774,58.361998,58.338046,57.759124,59.228558,
472.1541,57.99842,57.916304,56.34414,57.0554,58.279178,
472.4357,57.972937,58.004187,56.672998,56.723584,58.552832,
472.7173,56.260572,57.710125,55.791114,55.670604,56.537686,
472.9988,56.075863,57.040353,56.374788,55.982007,56.562394,
473.2804,54.566569,55.812209,56.071318,55.285513,55.499709,
473.5620,55.197031,55.839432,55.437117,54.941818,54.990853,
473.8435,53.627778,54.802517,54.351703,53.914203,53.650521,
474.1251,54.14826,54.544549,54.267951,53.508647,53.598402,
474.4066,53.288956,53.512137,54.120337,53.173744,53.115444,
474.6882,53.607712,53.316933,53.986481,53.419991,53.004433,
474.9698,51.622919,52.588556,51.019348,52.503491,51.283984,
475.2513,51.522495,52.2007,50.772495,52.39736,51.5361,
475.5329,51.240971,50.736163,51.40197,50.932574,51.357059,
475.8144,51.10716,50.28576,51.258979,49.723418,50.937579,
476.0960,49.568266,49.447114,49.425637,48.599036,50.152402,
476.3776,48.884619,49.820609,49.151743,49.079322,49.469656,
476.6591,47.743735,48.917642,49.182969,48.626398,48.546707,
476.9407,47.802733,48.136071,48.867189,48.104169,48.673176,
477.2223,47.230503,48.351205,48.305905,47.817947,48.052177,
477.5038,46.619027,48.193209,47.446476,47.381798,48.257062,
477.7854,45.866393,47.012697,46.807209,46.674238,47.222135,
478.0669,45.803111,46.36106,46.931192,46.828053,46.18148,
478.3485,44.858023,45.432826,45.245389,46.132629,44.652561,
478.6301,44.316946,45.016569,44.752223,45.311829,44.617995,
478.9116,43.615922,43.594914,44.348871,43.972183,43.890072,
479.1932,42.550728,42.76364,44.202144,43.512682,43.275364,
479.4747,42.453943,42.945708,42.871783,42.574063,42.345441,
479.7563,41.786069,41.923465,42.309917,42.983903,42.345042,
480.0379,41.106123,41.561571,41.437907,42.517426,42.191624,
480.3194,40.869335,41.714182,40.784722,41.465459,41.398391,
480.6010,39.670754,40.498804,40.009769,39.925788,39.086474,
480.8826,39.229524,39.912038,39.563035,39.552262,38.786235,
481.1641,38.90233,39.403033,38.825963,38.857213,39.305066,
481.4457,38.068281,38.976464,38.584104,38.331016,39.121911,
481.7272,37.390842,37.901204,37.608995,38.636556,38.005914,
482.0088,37.435383,37.430612,38.536559,37.485686,37.395917,
482.2904,37.11029,36.65808,37.398618,36.809081,36.800414,
482.5719,36.444365,36.397933,35.792396,36.7953,36.559916,
482.8535,35.651418,35.917328,35.652557,35.439484,36.099004,
483.1350,35.196007,35.609838,35.991493,34.947671,35.848004,
