,Live Spectrum 10-11-2023 10:12:45 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:47 - Spikes removed,Live Spectrum 10-11-2023 10:12:48 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,
448.2214,16.407903,17.032903,16.649339,16.638822,
448.5030,16.3125,16.925008,16.78744,16.61247,
448.7845,16.338123,16.919062,17.039994,16.713123,
449.0661,16.335619,17.02939,17.226881,16.789381,
449.3477,16.294689,17.183128,17.294689,16.95126,
449.6292,16.381233,17.13627,17.285007,17.107497,
449.9108,16.398497,16.904794,17.207848,17.125,
450.1924,16.412957,16.993966,16.99839,17.153702,
450.4739,16.487308,17.251955,16.944327,17.12891,
450.7555,16.646663,17.158989,17.168451,16.928038,
451.0370,17.027292,17.032833,17.25,16.689875,
451.3186,17.249558,16.953236,17.063827,16.655808,
451.6002,17.328296,16.984888,16.811817,16.797729,
451.8817,17.295529,17.047324,16.782147,16.762485,
452.1633,17.217305,17.095195,16.959629,16.574512,
452.4448,17.021321,16.859113,16.678302,16.765887,
452.7264,16.891885,16.658769,16.380038,16.881808,
453.0080,16.90625,16.824679,16.523237,16.78125,
453.2895,16.871437,16.98972,16.698189,16.676811,
453.5711,16.879074,17.11956,16.763588,16.611412,
453.8527,16.90625,17.044189,16.732086,16.714569,
454.1342,17.033384,16.901176,16.646102,16.926546,
454.4158,17.106594,16.746155,16.483311,17.123282,
454.6973,17.019161,17.122431,16.853783,16.907792,
454.9789,16.96875,17.380847,17.231787,16.662097,
455.2605,17.006986,17.229043,17.262132,16.548529,
455.5420,16.934512,17.098207,17.230652,16.635434,
455.8236,16.816278,17.140796,17.003437,16.855767,
456.1051,16.721861,17.207296,16.875,16.897907,
456.3867,16.847623,17.178719,17.015108,16.534738,
456.6683,17.058885,17.196712,17.275827,16.100981,
456.9498,16.96146,17.034767,17.272787,16.05052,
457.2314,16.813048,16.916849,16.826388,16.320907,
457.5130,16.885526,16.927105,16.687566,16.750328,
457.7945,17.042781,16.769051,17.034592,16.822025,
458.0761,17.221271,16.708754,17.336275,16.504954,
458.3576,17.367039,16.740197,17.105987,16.289211,
458.6392,17.341337,16.923101,16.795649,16.509651,
458.9208,17.247027,17.021824,16.696926,16.865067,
459.2023,17.152728,17.053257,17.039619,17.100795,
459.4839,17.036252,16.995939,17.032191,17.111876,
459.7654,16.865821,16.856935,17.035839,17.09375,
460.0470,16.835036,16.902643,17.310392,16.958536,
460.3286,16.775636,16.982909,17.360841,16.56568,
460.6101,16.658519,16.97713,17.046438,16.666201,
460.8917,16.532871,16.738429,16.983564,16.957289,
461.1733,16.476809,16.401153,17.162334,17.309537,
461.4548,16.887193,16.896141,16.821874,16.729227,
461.7364,17.120141,17.070253,16.52302,16.82896,
462.0179,17.330202,16.873339,16.51604,16.961145,
462.2995,17.311091,16.741131,16.745358,16.94496,
462.5811,17.233388,16.670888,17.171462,17.105016,
462.8626,17.050271,16.680318,17.473798,17.108113,
463.1442,17.048405,16.977932,17.386034,17.190561,
463.4257,17.0625,17.232834,17.173416,17.121416,
463.7073,16.744511,17.158947,17.296225,16.995907,
463.9889,16.975849,17.100415,17.392919,16.919581,
464.2704,17.087205,16.970225,17.332135,16.90625,
464.5520,16.919996,16.962322,17.337322,16.881428,
464.8335,16.550837,16.869007,16.894908,16.716684,
465.1151,16.593979,16.968979,16.806296,16.61691,
465.3967,16.851374,16.924542,16.611279,16.525153,
465.6782,17.259836,16.779969,16.638268,16.783811,
465.9598,17.470531,16.800712,16.706962,16.919818,
466.2414,17.347283,16.761594,16.693297,16.861141,
466.5229,17.108131,16.775546,16.764138,16.792658,
466.8045,17.011228,16.883794,16.678706,16.678706,
467.0860,17.051445,16.90625,16.939199,16.476191,
467.3676,16.907665,16.77722,17.025806,16.514918,
467.6492,17.082086,16.698228,17.108907,16.583022,
467.9307,17.176925,16.583651,17.099038,16.723562,
468.2123,17.499927,16.926999,17.197892,16.984321,
468.4938,17.431972,16.817261,17.009906,16.822406,
468.7754,17.066012,16.755078,16.837889,16.833594,
469.0570,17.078706,16.854942,16.8125,17.079869,
469.3385,16.935977,17.006477,16.970273,17.230182,
469.6201,16.958954,16.978546,17.184465,17.355408,
469.9017,16.995156,16.863128,17.086722,17.13735,
470.1832,17.132278,16.605649,17.036044,16.802738,
470.4648,17.05024,17.039546,16.554204,16.803005,
470.7463,17.004704,17.071908,16.973127,16.892138,
471.0279,17.026586,16.982741,17.434711,17.039182,
471.3095,16.924756,16.755762,17.313635,17.248865,
471.5910,16.852935,16.798722,16.854732,17.17462,
471.8726,16.817062,16.94594,16.38093,17.236314,
472.1541,16.678923,17.182473,16.579654,17.143139,
472.4357,16.709729,17.379187,17.026093,16.911084,
472.7173,16.825792,17.192167,16.933187,16.84824,
472.9988,16.656303,17.15625,16.852694,16.709859,
473.2804,16.491037,16.915116,16.924128,16.741085,
473.5620,16.522358,16.821392,17.017912,16.803608,
473.8435,16.66531,16.67844,17.299371,16.8125,
474.1251,16.660683,16.763518,17.34375,16.732049,
474.4066,16.843981,16.78125,17.263294,16.691931,
474.6882,17.27726,16.673981,17.089096,16.767952,
474.9698,16.485742,16.307684,17.277002,16.968939,
475.2513,16.45097,16.41083,16.910425,16.919585,
475.5329,16.683103,16.598265,16.790162,16.852662,
475.8144,16.93299,16.65178,16.80803,16.87053,
476.0960,17.049039,17.057693,16.973077,16.928526,
476.3776,17.115985,17.151743,17.240683,16.964243,
476.6591,17.098281,17.15625,17.307969,17.182503,
476.9407,17.120443,17.209635,17.3125,17.32552,
477.2223,17.204989,16.818806,17.072534,17.290447,
477.5038,17.058969,17.016301,16.898099,17.221142,
477.7854,17.111033,17.328443,16.635652,17.195471,
478.0669,17.098445,17.401555,16.753082,17.139084,
478.3485,17.067237,17.114604,17.046383,17.151513,
478.6301,17.194841,16.877223,17.279027,17.315059,
478.9116,17.27159,16.68523,17.41818,17.37017,
479.1932,17.333987,16.682619,17.411131,17.190419,
479.4747,17.106921,16.766443,16.879963,17.235193,
479.7563,17.220042,16.649965,16.754993,17.092458,
480.0379,17.354786,16.415428,16.82859,17.036303,
480.3194,17.218202,16.453399,16.948282,16.952851,
480.6010,16.978967,16.833682,17.229416,17.041766,
480.8826,16.807515,16.90625,17.229256,17.166488,
481.1641,16.78125,16.62108,16.855807,17.343047,
481.4457,16.936344,16.30401,16.755401,17.323302,
481.7272,17.046061,17.177734,16.646918,17.364041,
482.0088,17.0625,17.066734,16.625,17.349311,
482.2904,16.985687,17.076813,16.753021,17.16452,
482.5719,17.070817,17.323401,16.908834,17.125,
482.8535,17.144602,17.451279,16.861221,17.023295,
483.1350,17.308246,17.088759,16.818417,16.873336,
483.4166,17.419459,16.899055,16.736791,16.717569,
483.6982,17.663732,16.975547,16.643339,16.486405,
483.9797,17.193026,17.350483,17.025551,16.487569,
484.2613,16.887996,17.262996,16.975425,16.599717,
484.5428,17.166421,17.020183,16.9375,16.773925,
484.8244,17.497097,16.96875,16.888081,16.8125,
485.1060,17.365736,16.894963,17.022573,16.861691,
485.3875,17.043237,16.826043,17.111457,16.777086,
485.6691,16.871316,16.885576,17.149359,16.628207,
485.9507,17.0134,16.7366,16.865422,16.521043,
