,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:20,Live Spectrum 10-11-2023 09:49:26,Live Spectrum 10-11-2023 09:49:28,Live Spectrum 10-11-2023 09:49:31,Live Spectrum 10-11-2023 09:49:33,Live Spectrum 10-11-2023 09:49:36,Live Spectrum 10-11-2023 09:49:37,Live Spectrum 10-11-2023 09:49:38,Live Spectrum 10-11-2023 09:49:40,Live Spectrum 10-11-2023 09:49:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
387.1226,17.147397,17.231852,16.783375,16.922716,17.149079,16.963261,17.362341,16.975921,17.055329,16.389784,16.808693,
387.4042,17.543979,17.525172,16.897955,16.90625,17.29591,17.050057,17.189431,17.018807,17.391876,16.460455,16.835455,
387.6857,17.735939,17.477187,17.247504,16.764061,17.028122,17.147813,17.014061,17.116563,17.409062,17.009069,16.644685,
387.9673,17.690465,17.200841,17.013341,16.809535,16.910697,17.15625,17.029768,17.184535,16.900201,17.002965,16.476162,
388.2488,17.34549,17.125316,16.720174,16.874684,16.968434,17.218434,17.062342,17.032041,16.657357,17.124367,16.530934,
388.5304,16.99768,16.90857,16.637762,17.166617,17.104192,17.31134,16.884281,16.820621,16.90741,17.039371,16.453743,
388.8120,16.967175,16.983588,16.978642,16.625,17.370054,17.283723,17.137365,17.026304,16.930081,17.240108,16.887365,
389.0935,17.391883,17.171371,17.116431,16.651461,17.270918,17.289819,17.27369,16.95741,16.84375,17.11744,17.03503,
389.3751,17.973832,17.28125,17.291413,16.833587,16.933178,17.109755,17.127279,16.869918,16.869159,17.052337,17.042173,
389.6566,17.917089,17.249361,17.28635,16.774872,16.724489,16.980228,16.624361,16.830994,17.031889,17.019133,16.886478,
389.9382,17.486394,17.101995,17.047163,16.780673,16.663341,16.811923,16.592019,16.796587,17.117909,17.09375,16.633822,
390.2198,17.075671,17.013344,16.991047,16.937673,16.843923,16.888344,16.955579,16.807937,16.910468,17.09375,16.531423,
390.5013,16.813604,17.009681,16.96875,17.09375,17.010233,16.853983,17.135785,16.71875,16.615872,17.09375,16.6875,
390.7829,16.710513,17.197309,16.96875,16.978685,17.008237,16.921026,17.185802,16.914361,16.664361,16.944165,16.675993,
391.0645,16.890524,17.34945,16.981525,16.845124,16.981525,16.923351,17.29265,17.1989,17.076649,16.764149,16.643475,
391.3460,17.163939,17.200198,16.971925,17.06384,17.084226,16.798462,17.078373,17.096925,17.159425,17.00134,16.75134,
391.6276,17.21941,17.0625,17.013975,17.172865,17.111025,16.796545,16.90625,16.970729,17.15559,17.202135,16.921545,
391.9091,17.088218,16.930124,17.143391,17.058812,16.783046,16.928329,16.939344,16.759171,17.253688,17.216906,17.086423,
392.1907,16.964413,16.91926,17.13412,16.964413,16.5625,17.13801,17.004337,16.70963,17.348087,17.098533,17.16537,
392.4723,17.146877,17.019034,17.09375,17.013637,16.5625,17.180681,17.145456,16.902274,17.146589,17.050284,17.220171,
392.7538,17.30152,17.132599,17.07348,17.103039,16.724658,17.13598,17.23902,16.97973,16.898651,17.001691,17.26098,
393.0354,17.291,17.166,17.148499,17.1465,16.941498,16.759505,17.078002,16.603255,17.166246,17.162247,17.142501,
393.3169,17.28125,17.15625,17.232949,17.088077,16.954551,16.571026,16.818206,16.414776,17.176154,17.295449,17.161923,
393.5985,17.185476,17.180193,17.226057,16.91884,16.889613,16.442783,16.941547,16.430193,16.909509,17.120953,17.11567,
393.8801,17.33235,17.137186,17.193593,16.824686,16.875,16.280464,17.050314,16.538128,16.894064,16.861243,17.118907,
394.1616,17.427731,17.177731,16.897481,16.8125,16.795904,16.276365,17.299789,16.694327,16.800788,16.759769,16.834981,
394.4432,17.520205,17.077227,16.871318,16.922773,17.029364,16.363955,17.481591,16.691182,16.94666,16.694863,16.808818,
394.7248,17.416187,17.033734,16.990063,16.9375,16.86114,16.518829,17.241108,16.572437,16.738624,16.917626,16.553608,
395.0063,17.645913,16.941376,17.089874,16.967458,16.933624,16.53125,16.949129,16.592458,16.509045,17.147205,16.411419,
395.2879,16.472756,17.030934,17.43634,16.719593,17.093223,16.842696,17.155512,16.874051,16.873735,16.81366,16.655407,
395.5694,16.568954,17.006454,16.92997,16.417007,17.096977,17.013985,16.932121,16.653023,16.941803,16.53125,16.571106,
395.8510,16.761258,17.173991,16.741265,16.741265,17.194255,17.397244,16.78125,16.578261,17.055745,16.538005,16.839519,
