,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
380.9282,18.15625,18.098811,18.067687,18.33831,18.228998,17.593877,18.182186,18.182186,18.604378,18.343877,
381.2098,18.321433,18.475456,18.392865,18.336311,18.380213,18.175608,18.18378,18.18378,18.821433,18.127226,
381.4914,18.488711,18.821172,18.901376,18.256773,18.580203,18.742868,18.680368,18.680368,18.872742,17.919797,
381.7729,18.256414,18.965543,18.815707,18.219552,19.080921,18.537664,18.688302,18.688302,18.905448,17.875802,
382.0545,18.095047,18.906898,18.596343,18.354122,19.341157,18.013613,18.238198,18.238198,18.965509,18.259076,
382.3360,18.177173,18.956331,18.725027,18.837473,19.212473,18.666712,19.147881,19.147881,18.827146,18.681223,
382.6176,18.486403,19.250526,18.854867,18.799429,19.121469,18.816031,19.027719,19.027719,19.048903,18.590219,
382.8992,18.625,19.504963,19.212316,19.25202,19.118566,18.848713,19.019852,19.019852,19.197426,18.592279,
383.1807,18.765576,19.51847,19.420428,19.753495,19.352237,19.021965,19.233627,19.233627,19.269169,18.903355,
383.4623,19.437472,19.46875,19.773425,20.414054,19.789054,19.757775,19.726546,19.726546,19.34375,19.585918,
383.7439,20.024695,19.634816,20.04821,20.438991,19.970831,20.286903,19.992855,19.992855,19.583623,19.945235,
384.0254,20.478074,20.095062,20.365676,20.165574,20.082459,20.204836,20.178176,20.178176,20.262603,20.134324,
384.3070,20.700051,20.387295,20.589139,20.050461,20.264856,20.344518,20.473873,20.473873,20.5771,20.151639,
384.5885,21.057508,20.683124,20.767813,20.299986,20.808431,20.932508,20.74094,20.74094,20.696253,20.357187,
384.8701,21.110672,21.01533,20.824145,21.130778,21.235672,20.585289,20.776474,20.776474,20.743632,20.389829,
