,Live Spectrum 10-11-2023 10:08:46 - Spikes removed,Live Spectrum 10-11-2023 10:08:50 - Spikes removed,Live Spectrum 10-11-2023 10:08:51 - Spikes removed,Live Spectrum 10-11-2023 10:08:52 - Spikes removed,Live Spectrum 10-11-2023 10:08:54 - Spikes removed,Live Spectrum 10-11-2023 10:08:55 - Spikes removed,Live Spectrum 10-11-2023 10:08:56 - Spikes removed,Live Spectrum 10-11-2023 10:08:57 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
410.7738,36.771465,36.323232,37.053662,35.892046,36.849116,36.246528,37.297349,36.916982,
411.0553,35.866148,35.723265,35.982231,35.147382,35.718847,35.035814,36.584882,35.64743,
411.3369,35.441968,35.071437,35.480362,35.03125,35.005365,34.511612,35.970543,34.939293,
411.6184,34.034984,34.057254,34.694731,33.974232,33.794778,33.640277,34.792096,34.475047,
411.9000,33.346641,33.644766,34.448281,33.227032,33.363516,33.5625,34.805312,34.879296,
412.1816,32.250835,33.412667,33.588168,32.9145,32.828084,32.864834,33.872168,34.845583,
412.4631,32.312376,33.687128,33.187996,33.280754,32.968543,32.718915,33.37562,34.594081,
412.7447,32.52213,32.149617,31.804209,32.641327,31.810013,31.90625,32.420344,32.518814,
413.0262,32.128187,31.879136,31.489832,32.034437,31.713666,31.88083,32.920553,32.030302,
413.3078,31.080973,31.40625,31.330388,31.025554,31.645443,31.4375,32.591779,31.491749,
413.5894,30.818101,31.355079,31.435731,31.237449,31.813595,31.352215,32.037945,31.70224,
413.8709,29.848013,30.894874,30.575261,30.612212,31.184622,30.622149,30.498561,31.257086,
414.1525,29.691076,30.410422,29.919448,30.403525,30.191076,30.237653,29.971134,30.793852,
414.4341,28.696444,29.21729,29.270809,29.75,29.303556,29.309543,29.319948,30.177096,
414.7156,28.489112,28.853225,29.54355,29.573526,29.497313,28.834413,29.313775,29.816738,
414.9972,28.539641,28.931424,29.120467,28.868924,29.352141,28.170717,29.511478,29.224826,
415.2787,28.266024,28.659622,28.363979,28.495758,28.968714,28.168902,28.809092,29.200986,
