,Live Spectrum 26-10-2023 13:26:59,Live Spectrum 26-10-2023 13:27:01,Live Spectrum 26-10-2023 13:27:02,Live Spectrum 26-10-2023 13:27:03,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:04,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:05,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:06,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:07,Live Spectrum 26-10-2023 13:27:08,Live Spectrum 26-10-2023 13:27:08,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
375.5786,17.366157,16.784198,17.005895,16.901528,17.094923,16.993503,16.993503,17.145633,17.145633,17.116157,17.116157,17.854367,17.854367,16.972871,16.972871,18.28892,18.28892,17.077238,17.077238,
375.8601,17.5543,17.737518,17.149417,17.502551,16.79355,17.385751,17.385751,16.915816,16.915816,17.423834,17.423834,17.127915,17.127915,17.266217,17.266217,18.073433,18.073433,17.361334,17.361334,
376.1417,17.529584,17.592084,17.252707,17.342084,17.064999,17.250833,17.250833,17.472498,17.472498,17.437708,17.437708,17.063958,17.063958,17.718125,17.718125,17.563333,17.563333,17.313958,17.313958,
376.4233,17.283027,17.341973,17.675795,17.097304,17.464152,17.396322,17.396322,18.029473,18.029473,17.458089,17.458089,17.290134,17.290134,17.614339,17.614339,17.710599,17.710599,17.556126,17.556126,
376.7048,17.315839,17.325858,18.023376,17.169608,17.919608,17.760018,17.760018,17.936551,17.936551,17.254535,17.254535,17.424142,17.424142,17.430821,17.430821,18.120465,18.120465,18.018841,18.018841,
376.9864,17.36823,17.422812,18.21875,17.295938,17.987186,17.809478,17.809478,17.371978,17.371978,17.050834,17.050834,17.351668,17.351668,17.419064,17.419064,18.314374,18.314374,18.442396,18.442396,
377.2679,17.506447,17.311517,18.173624,17.375,17.58239,17.625,17.625,17.200393,17.200393,17.130464,17.130464,17.549607,17.549607,17.662697,17.662697,18.091785,18.091785,18.346266,18.346266,
377.5495,17.547232,17.131562,17.936071,17.422947,16.849598,17.720893,17.720893,17.289956,17.289956,17.023259,17.023259,17.515982,17.515982,17.623571,17.623571,17.875714,17.875714,17.73116,17.73116,
377.8311,17.774814,17.168874,17.816708,17.314728,16.841522,17.99047,17.99047,17.368131,17.368131,17.076238,17.076238,17.791213,17.791213,17.485149,17.485149,18.044988,18.044988,17.369678,17.369678,
378.1126,18.010502,17.580751,18.167872,16.949122,17.350938,18.068311,18.068311,17.270188,17.270188,17.106189,17.106189,18.179752,18.179752,17.549501,17.549501,18.240875,18.240875,17.5,17.5,
378.3942,17.737856,17.751781,18.493483,17.488746,17.401068,18.136699,18.136699,17.300356,17.300356,16.906695,16.906695,17.836788,17.836788,17.493928,17.493928,18.356784,18.356784,17.613301,17.613301,
378.6758,18.066476,18.280207,18.112975,17.75,17.893086,17.869982,17.869982,17.487878,17.487878,17.225756,17.225756,17.70161,17.70161,17.615909,17.615909,18.44053,18.44053,17.738921,17.738921,
378.9573,18.484372,18.343754,17.781248,17.906246,18.203125,17.874996,17.874996,17.79687,17.79687,17.656246,17.656246,17.984368,17.984368,17.937494,17.937494,18.281254,18.281254,17.921868,17.921868,
379.2389,18.525216,17.961749,18.289219,18.250968,18.067566,18.274135,18.274135,18.105817,18.105817,17.641166,17.641166,18.404201,18.404201,18.276184,18.276184,18.036316,18.036316,18.224784,18.224784,
379.5204,18.524659,17.936364,18.954432,18.443523,18.136477,18.555909,18.555909,18.311932,18.311932,17.816819,17.816819,18.549886,18.549886,18.468182,18.468182,18.217046,18.217046,18.28125,18.28125,
379.8020,18.683301,18.545702,18.834115,18.327816,18.552002,18.211215,18.211215,18.375,18.375,18.433919,18.433919,18.421566,18.421566,18.450716,18.450716,18.708252,18.708252,18.442317,18.442317,
380.0836,19.225741,18.57463,18.807622,18.401372,18.783624,18.583864,18.583864,19.045362,19.045362,18.267007,18.267007,18.170753,18.170753,18.817117,18.817117,19.11287,19.11287,18.444752,18.444752,
380.3651,19.160182,18.51497,18.94433,18.630519,18.696951,18.88997,18.88997,19.089542,19.089542,18.278629,18.278629,18.07064,18.07064,18.792011,18.792011,19.24186,19.24186,18.521799,18.521799,
380.6467,18.767429,18.53125,19.263821,18.933392,18.557893,19.22591,19.22591,18.926232,18.926232,18.614232,18.614232,18.013322,18.013322,18.620393,18.620393,19.028697,19.028697,18.5625,18.5625,
380.9282,18.531123,18.557313,19.395876,18.843623,18.400936,19.494939,19.494939,19.19294,19.19294,18.609312,18.609312,18,18,18.854378,18.854378,18.655997,18.655997,18.666751,18.666751,
381.2098,18.665183,18.920396,19.709085,19.005213,18.457591,19.50372,19.50372,19.25,19.25,18.924115,18.924115,18.550608,18.550608,19.319206,19.319206,18.896585,18.896585,18.467257,18.467257,
381.4914,18.890446,19.316657,19.721008,19.524118,18.816657,19.586977,19.586977,18.98907,18.98907,18.910766,18.910766,18.972907,18.972907,19.375,19.375,19.343391,19.343391,18.553469,18.553469,
381.7729,19.028043,20.348541,20.23637,19.836534,18.813302,19.776439,19.776439,18.786061,18.786061,18.875802,18.875802,18.878207,18.878207,19.588138,19.588138,19.527241,19.527241,18.775638,18.775638,
382.0545,19.131483,20.704488,20.071576,19.563797,19.269448,20.028009,20.028009,19.018151,19.018151,18.960189,18.960189,18.828706,18.828706,19.516855,19.516855,19.165974,19.165974,19.130834,19.130834,
382.3360,19.462608,20.03125,20.504185,19.635462,20.204239,19.885462,19.885462,19.8478,19.8478,20.029158,20.029158,19.608396,19.608396,20.308315,20.308315,19.639646,19.639646,19.425081,19.425081,
382.6176,19.858398,20.066556,20.513071,19.809495,20.455153,20.080679,20.080679,19.447566,19.447566,19.992939,19.992939,19.858398,19.858398,20.260592,20.260592,19.889648,19.889648,19.733398,19.733398,
382.8992,20.243566,20.353676,20.105148,20.09577,20.59375,20.478676,20.478676,19.36066,19.36066,19.9375,19.9375,20.198898,20.198898,20.328861,20.328861,20.284742,20.284742,20.103676,20.103676,
383.1807,20.592253,20.534046,20.178914,20.539737,20.549021,20.646266,20.646266,20.004893,20.004893,20.001398,20.001398,20.055411,20.055411,20.294729,20.294729,20.570987,20.570987,20.271266,20.271266,
383.4623,21.539039,21.062493,21.054647,21.015607,20.398432,21.195289,21.195289,20.98435,20.98435,20.335918,20.335918,19.929682,19.929682,20.499993,20.499993,20.96875,20.96875,20.804668,20.804668,
383.7439,21.936009,21.377671,21.612202,21.379162,20.542557,21.472322,21.472322,21.450888,21.450888,20.824397,20.824397,20.258324,20.258324,20.713686,20.713686,21.07946,21.07946,21.237792,21.237792,
384.0254,21.932909,21.927521,21.528627,21.634324,20.814467,21.214815,21.214815,21.728074,21.728074,21.417541,21.417541,21.0558,21.0558,21.031906,21.031906,21.354385,21.354385,21.688156,21.688156,
384.3070,21.728739,22.257684,21.630378,21.495133,21.144467,21.204917,21.204917,21.96209,21.96209,21.487961,21.487961,21.177511,21.177511,21.382684,21.382684,21.471311,21.471311,21.786117,21.786117,
384.5885,22.42967,22.67844,22.348742,21.639052,21.482495,21.875308,21.875308,22.607495,22.607495,21.589681,21.589681,21.040926,21.040926,21.642198,21.642198,21.839989,21.839989,21.937808,21.937808,
384.8701,23.438502,22.743632,22.933225,22.321462,22.188502,22.177948,22.177948,23.076238,23.076238,22.224528,22.224528,21.669988,21.669988,21.508461,21.508461,22.747818,22.747818,22.403567,22.403567,
385.1517,24.321947,23.004724,23.262673,22.894758,23.055732,22.488508,22.488508,23.469931,23.469931,23.058094,23.058094,22.079896,22.079896,21.964344,21.964344,23.745594,23.745594,22.862327,22.862327,
385.4332,24.967213,23.652886,23.926541,23.387117,23.826732,23.297598,23.297598,23.816732,23.816732,23.818848,23.818848,22.582501,22.582501,22.813079,22.813079,24.435963,24.435963,23.500579,23.500579,
385.7148,25.300221,24.441925,24.784569,23.953098,24.325885,24.204204,24.204204,24.271184,24.271184,24.434126,24.434126,23.468695,23.468695,23.382799,23.382799,24.863828,24.863828,24.278983,24.278983,
385.9963,25.556587,25.155334,25.395903,24.7759,24.944537,25.007037,25.007037,24.975787,24.975787,24.654772,24.654772,24.321015,24.321015,23.773859,23.773859,25.242609,25.242609,24.886472,24.886472,
386.2779,25.882839,25.775223,25.516479,25.515677,25.488747,25.3125,25.3125,25.628519,25.628519,24.861134,24.861134,24.550341,24.550341,24.067726,24.067726,25.471363,25.471363,24.746481,24.746481,
