,Live Spectrum 26-10-2023 13:32:31,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:39,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:40,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:41,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:42,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:43,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:44,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,Live Spectrum 26-10-2023 13:32:45,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
368.2580,16.686165,17.008281,16.745994,17.326122,17.326122,16.608707,16.608707,16.446847,16.446847,16.446847,16.801818,16.801818,16.90625,16.90625,16.90625,17.137287,17.137287,17.137287,16.694176,16.694176,16.423878,16.423878,16.423878,16.722756,16.722756,17.135952,17.135952,17.135952,16.642628,
368.5395,16.710353,16.789647,16.584112,17.136974,17.136974,16.539647,16.539647,16.602147,16.602147,16.602147,16.508397,16.508397,16.761974,16.761974,16.761974,17.152672,17.152672,17.152672,16.897853,16.897853,16.522853,16.522853,16.522853,16.848569,16.848569,16.905009,16.905009,16.905009,16.741603,
368.8211,16.90816,16.59184,16.64987,16.71493,16.71493,16.16391,16.16391,16.52296,16.52296,16.52296,16.78507,16.78507,16.57717,16.57717,16.57717,17.23852,17.23852,17.23852,16.79911,16.79911,16.48342,16.48342,16.48342,16.73661,16.73661,16.71365,16.71365,16.71365,16.89987,
369.1027,17.042998,16.564498,16.826246,16.273259,16.273259,15.925752,15.925752,16.371005,16.371005,16.371005,17.183742,17.183742,16.445253,16.445253,16.445253,17.400495,17.400495,17.400495,16.568255,16.568255,16.351503,16.351503,16.351503,16.441258,16.441258,16.484256,16.484256,16.484256,17.119245,
369.3842,17.201833,16.918861,16.758889,16.458139,16.458139,16.533249,16.533249,16.1035,16.1035,16.1035,17.467028,17.467028,16.61525,16.61525,16.61525,16.981084,16.981084,16.981084,16.871555,16.871555,16.5215,16.5215,16.5215,16.157972,16.157972,16.708139,16.708139,16.708139,16.9785,
369.6658,17.100367,16.956433,16.643933,16.537561,16.537561,16.575428,16.575428,16.330516,16.330516,16.330516,17.256922,17.256922,16.637622,16.637622,16.637622,17.03695,17.03695,17.03695,16.850367,16.850367,16.543872,16.543872,16.543872,16.417955,16.417955,16.912255,16.912255,16.912255,16.956128,
369.9473,16.796007,16.804254,16.598351,16.717795,16.717795,16.424653,16.424653,16.619444,16.619444,16.619444,17.000955,17.000955,16.704948,16.704948,16.704948,17.067101,17.067101,17.067101,16.865799,16.865799,16.451302,16.451302,16.451302,16.87309,16.87309,17.070746,17.070746,17.070746,16.96875,
370.2289,16.806707,16.809603,16.792224,17.005181,17.005181,16.32119,16.32119,16.74131,16.74131,16.74131,17.05381,17.05381,16.662043,16.662043,16.662043,16.807319,16.807319,16.807319,16.761586,16.761586,16.607621,16.607621,16.607621,16.965853,16.965853,17.065397,17.065397,17.065397,17.110517,
370.5105,16.842551,16.782449,16.932705,17.03125,17.03125,16.342551,16.342551,16.930308,16.930308,16.930308,17.092551,17.092551,16.65625,16.65625,16.65625,16.540839,16.540839,16.540839,16.75,16.75,17.015667,17.015667,17.015667,16.698288,16.698288,17.002397,17.002397,17.002397,17.155051,
370.7920,16.935528,16.877465,16.938486,16.972693,16.972693,16.434543,16.434543,16.629929,16.629929,16.629929,17.18405,17.18405,16.403293,16.403293,16.403293,16.378943,16.378943,16.378943,16.813979,16.813979,17.091778,17.091778,17.091778,16.376972,16.376972,17.063979,17.063979,17.063979,16.998521,
