,Live Spectrum 26-10-2023 13:40:57,Live Spectrum 26-10-2023 13:40:58,Live Spectrum 26-10-2023 13:40:59,Live Spectrum 26-10-2023 13:41:01,Live Spectrum 26-10-2023 13:41:02,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:03,Live Spectrum 26-10-2023 13:41:04,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:05,Live Spectrum 26-10-2023 13:41:06,Live Spectrum 26-10-2023 13:41:07,Live Spectrum 26-10-2023 13:41:08,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:09,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:10,Live Spectrum 26-10-2023 13:41:11,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
371.6367,18.435827,17.717077,18.021864,17.72428,17.94303,17.810827,17.500255,17.875,17.375,18.742542,17.720678,17.555297,18.0625,18.487012,18.448304,18.448304,18.448304,17.731227,17.731227,17.610339,17.610339,17.610339,17.792309,17.792309,
371.9183,18.697161,18.079159,17.62993,17.663645,18.011928,18.165713,18.009463,17.882196,17.360607,18.519322,17.910981,17.855678,17.968949,18.252465,18.00493,18.00493,18.00493,17.084089,17.084089,17.673107,17.673107,17.673107,17.858143,17.858143,
372.1998,18.430155,18.334893,17.543779,17.42814,18.200533,18.450533,18.232287,17.923963,17.321357,18.392713,18.00468,18.035426,17.620824,18.218246,17.803643,17.803643,17.803643,17.386522,17.386522,17.607287,17.607287,17.607287,17.968246,17.968246,
372.4814,17.779838,18.280968,17.823011,17.604543,18.154838,18.509946,18.029838,17.926707,17.133534,18.490054,17.853414,18.072446,17.478696,18.227849,17.718185,17.718185,17.718185,17.947728,17.947728,17.551989,17.551989,17.551989,18.135511,18.135511,
372.7630,17.553862,18.243068,17.697844,17.833406,17.84375,18.357615,17.572844,17.928862,16.682274,18.59375,17.723976,18.017385,17.460112,17.876706,17.508638,17.508638,17.508638,17.590121,17.590121,17.579885,17.579885,17.579885,18.095456,18.095456,
373.0445,17.825507,18.295051,17.344544,17.896892,17.857551,18.419257,17.260946,17.952094,16.749206,18.59375,17.601841,18.162753,17.704156,17.808851,17.499206,17.499206,17.499206,17.176554,17.176554,17.65625,17.65625,17.65625,17.958598,17.958598,
373.3261,18.061746,18.327936,17.310991,17.409644,17.844127,18.80986,17.140814,17.874246,17.060614,18.393077,17.529364,18.296309,18.044423,18.167915,17.964978,17.964978,17.964978,17.852398,17.852398,17.702559,17.702559,17.702559,17.875377,17.875377,
373.6076,18.107934,18.292552,17.744688,17.517519,18.222085,18.382741,17.688179,17.818038,17.372344,18.477622,17.892292,18.156024,18.369462,18.278142,18.298316,18.298316,18.298316,18.164444,18.164444,17.528142,17.528142,17.528142,17.536562,17.536562,
373.8892,18.037681,18.343448,18.093448,17.955887,18.599879,18.068024,18.231008,17.681371,17.668206,18.531855,18.025121,17.925242,18.319234,18.168508,18.480706,18.480706,18.480706,18.180464,18.180464,17.530645,17.530645,17.530645,17.542903,17.542903,
374.1708,18.081228,18.365636,18.440546,18.254626,18.665614,18.259364,18.240636,17.859319,17.659409,18.182874,17.878159,17.996841,18.056295,18.178136,18.857739,18.857739,18.857739,18.526512,18.526512,17.818705,17.818705,17.818705,17.779671,17.779671,
374.4523,18.059246,18.10265,18.922522,18.484591,18.775173,18.171659,18.174914,17.815323,17.35265,18.106336,17.987845,18.194009,18.034504,18.090496,18.978082,18.978082,18.978082,18.756509,18.756509,17.774741,17.774741,17.774741,17.8125,17.8125,
374.7339,18.17239,18.07057,19.015453,18.366587,18.74193,18.47785,18.15625,17.773523,17.344093,18.47785,18.227163,18.626373,18.038977,18.109547,18.780563,18.780563,18.780563,18.624313,18.624313,17.906937,17.906937,17.906937,18.16535,18.16535,
375.0155,18.369485,18.495709,18.849265,18.186888,18.91973,18.870097,18.206495,17.88174,17.877449,18.895219,18.48223,18.724878,17.83027,18.275735,18.542893,18.542893,18.542893,18.436888,18.436888,18.119485,18.119485,18.119485,18.582719,18.582719,
