,Live Spectrum 26-10-2023 13:37:32,Live Spectrum 26-10-2023 13:37:33,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:34,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:35,Live Spectrum 26-10-2023 13:37:36,Live Spectrum 26-10-2023 13:37:36,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
385.1517,16.877362,16.737327,16.219931,16.858785,16.858785,17.046285,17.046285,17.046285,16.875,16.875,16.875,17.141215,17.141215,17.141215,
385.4332,16.779134,16.865289,16.214808,16.931731,16.931731,16.960865,16.960865,16.960865,17.086154,17.086154,17.086154,17.050673,17.050673,17.050673,
385.7148,16.466537,16.887279,16.358241,17.075885,17.075885,16.868307,16.868307,16.868307,17.155144,17.155144,17.155144,16.96875,16.96875,16.96875,
385.9963,16.323409,16.671594,16.550112,17.145341,17.145341,16.803069,16.803069,16.803069,17.073409,17.073409,17.073409,16.846706,16.846706,16.846706,
386.2779,16.3125,16.41057,16.74568,17.15625,17.15625,16.759546,16.759546,16.759546,17.0625,17.0625,17.0625,16.672729,16.672729,16.672729,
386.5595,16.473936,16.459062,16.881687,17.133188,17.133188,16.726938,16.726938,16.726938,16.993313,16.993313,16.993313,16.509688,16.509688,16.509688,
386.8410,16.482421,16.548829,16.784177,16.880854,16.880854,16.791994,16.791994,16.791994,16.749018,16.749018,16.749018,16.493165,16.493165,16.493165,
387.1226,16.365705,16.717068,16.621193,16.709455,16.709455,16.735216,16.735216,16.735216,16.6875,16.6875,16.6875,16.551523,16.551523,16.551523,
387.4042,16.262443,16.64159,16.539545,16.606193,16.606193,16.71875,16.71875,16.71875,17.094036,17.094036,17.094036,16.616705,16.616705,16.616705,
387.6857,16.477503,16.511249,16.616563,16.679063,16.679063,16.548123,16.548123,16.548123,17.383753,17.383753,17.383753,16.653438,16.653438,16.653438,
387.9673,16.648838,16.5,16.684535,16.80657,16.80657,16.441947,16.441947,16.441947,16.989503,16.989503,16.989503,16.715785,16.715785,16.715785,
388.2488,16.904984,16.966377,16.749684,16.999051,16.999051,16.934969,16.934969,16.934969,16.937658,16.937658,16.937658,16.563291,16.563291,16.563291,
388.5304,17.009207,17.258121,16.739633,17.00116,17.00116,17.253481,17.253481,17.253481,17.068301,17.068301,17.068301,16.578668,16.578668,16.578668,
388.8120,16.442446,17.421764,17.244156,17.023831,17.023831,17.326439,17.326439,17.326439,17.208858,17.208858,17.208858,16.199865,16.199865,16.199865,
389.0935,16.541582,16.837199,16.774699,16.895918,16.895918,17.087199,17.087199,17.087199,17.078629,17.078629,17.078629,16.35131,16.35131,16.35131,
389.3751,16.848832,16.587909,16.484755,16.608995,16.608995,16.817582,16.817582,16.817582,16.983995,16.983995,16.983995,16.457067,16.457067,16.457067,
389.6566,16.836733,16.744261,16.444517,16.751278,16.751278,16.862883,16.862883,16.862883,17.075256,17.075256,17.075256,16.744261,16.744261,16.744261,
389.9382,16.695168,16.782404,16.678101,17,17,16.929832,16.929832,16.929832,17.140337,17.140337,17.140337,16.813077,16.813077,16.813077,
390.2198,16.700844,16.531077,16.9375,16.892561,16.892561,16.816718,16.816718,16.816718,17.115874,17.115874,17.115874,16.638171,16.638171,16.638171,
390.5013,16.625552,16.446628,16.9375,16.614767,16.614767,16.460726,16.460726,16.460726,16.835174,16.835174,16.835174,16.335174,16.335174,16.335174,
390.7829,16.470448,16.754841,16.718876,16.490191,16.490191,16.613241,16.613241,16.613241,16.820611,16.820611,16.820611,16.297598,16.297598,16.297598,
391.0645,16.491348,17.0568,16.39485,16.33805,16.33805,17.305425,17.305425,17.305425,17.054051,17.054051,17.054051,16.657624,16.657624,16.657624,
391.3460,17.044792,17.121825,16.524901,16.290774,16.290774,17.25,17.25,17.25,16.892212,16.892212,16.892212,16.707887,16.707887,16.707887,
391.6276,17.314479,17.171545,16.578455,16.309861,16.309861,17.25,17.25,17.25,16.798525,16.798525,16.798525,16.59507,16.59507,16.59507,
391.9091,17.086374,17.220594,16.661782,16.636064,16.636064,17.216906,17.216906,17.216906,16.751844,16.751844,16.751844,16.514703,16.514703,16.514703,
392.1907,16.75523,17.161033,16.821173,16.8125,16.8125,17.1875,17.1875,17.1875,16.852423,16.852423,16.852423,16.55338,16.55338,16.55338,
392.4723,16.536647,17.09375,16.855966,16.831534,16.831534,17.168466,17.168466,17.168466,16.925284,16.925284,16.925284,16.803127,16.803127,16.803127,
392.7538,16.621618,17.154559,16.945099,16.803211,16.803211,17.13598,17.13598,17.13598,17.079388,17.079388,17.079388,17.119927,17.119927,17.119927,
393.0354,16.751999,17.058502,16.828002,16.867249,16.867249,16.910003,16.910003,16.910003,17.070251,17.070251,17.070251,16.810255,16.810255,16.810255,
393.3169,16.690353,16.886379,16.681827,16.928974,16.928974,16.789776,16.789776,16.789776,17.144871,17.144871,17.144871,16.556827,16.556827,16.556827,
393.5985,16.488646,16.867693,16.51259,16.961443,16.961443,16.805193,16.805193,16.805193,17.235387,17.235387,17.235387,16.60308,16.60308,16.60308,
393.8801,16.336872,16.925314,16.46875,16.868122,16.868122,17.089228,17.089228,17.089228,17.325471,17.325471,17.325471,16.524372,16.524372,16.524372,
394.1616,16.259769,17.016596,16.389654,16.685558,16.685558,17.235346,17.235346,17.235346,17.185558,17.185558,17.185558,16.5,16.5,16.5,
394.4432,16.41541,17.003682,16.292295,16.683818,16.683818,17.08459,17.08459,17.08459,16.908136,16.908136,16.908136,16.66541,16.66541,16.66541,
394.7248,16.725158,16.712342,16.28125,16.773797,16.773797,16.659779,16.659779,16.659779,16.731171,16.731171,16.731171,16.831329,16.831329,16.831329,
395.0063,16.989663,16.387922,16.191376,16.871124,16.871124,16.445253,16.445253,16.445253,16.598919,16.598919,16.598919,16.903666,16.903666,16.903666,
395.2879,15.816506,16.343855,16.716958,17.093012,17.093012,16.562078,16.562078,16.562078,16.998629,16.998629,16.998629,17.093117,17.093117,17.093117,
395.5694,16.133606,16.206863,16.659477,17.125,17.125,16.82003,16.82003,16.82003,16.776947,16.776947,16.776947,16.741394,16.741394,16.741394,
395.8510,16.388509,16.745497,16.754503,17.106988,17.106988,17.042508,17.042508,17.042508,16.660753,16.660753,16.660753,16.5,16.5,16.5,
396.1326,16.57961,16.708032,16.791968,16.847624,16.847624,17.1875,17.1875,17.1875,16.739282,16.739282,16.739282,16.51711,16.51711,16.51711,
396.4141,16.700402,16.902523,16.638761,16.629587,16.629587,17.15539,17.15539,17.15539,16.924598,16.924598,16.924598,16.637902,16.637902,16.637902,
396.6957,16.576509,17.091234,16.707256,16.650503,16.650503,16.917028,16.917028,16.917028,17.054238,17.054238,17.054238,16.502516,16.502516,16.502516,
396.9772,16.548309,17.177342,16.670053,16.645704,16.645704,16.6875,16.6875,16.6875,17.128645,17.128645,17.128645,16.347395,16.347395,16.347395,
397.2588,16.614094,17.047351,16.7268,16.678498,16.678498,16.647248,16.647248,16.647248,17.007099,17.007099,17.007099,16.298303,16.298303,16.298303,
397.5404,16.413638,17.02939,16.768389,16.5625,16.5625,16.522056,16.522056,16.522056,16.946694,16.946694,16.946694,16.483472,16.483472,16.483472,
397.8219,16.769912,16.80267,16.781501,16.603832,16.603832,16.551664,16.551664,16.551664,17.020414,17.020414,17.020414,16.655747,16.655747,16.655747,
398.1035,16.954135,16.667716,16.741682,16.721898,16.721898,16.702115,16.702115,16.702115,17.193797,17.193797,17.193797,16.827115,16.827115,16.827115,
398.3851,16.786841,16.700094,16.680497,16.793844,16.793844,16.793844,16.793844,16.793844,17.325094,17.325094,17.325094,16.944032,16.944032,16.944032,
398.6666,16.615099,16.787334,16.503816,16.785066,16.785066,16.743916,16.743916,16.743916,17.288883,17.288883,17.288883,16.876548,16.876548,16.876548,
398.9482,16.66634,16.97884,16.424247,16.779669,16.779669,16.65625,16.65625,16.65625,17.174247,17.174247,17.174247,16.659413,16.659413,16.659413,
399.2297,16.940715,17.09375,16.406893,16.716821,16.716821,16.592464,16.592464,16.592464,17.125,17.125,17.125,16.64159,16.64159,16.64159,
399.5113,17.161964,17.059643,16.249911,16.897856,16.897856,16.701785,16.701785,16.701785,16.528127,16.528127,16.528127,16.653393,16.653393,16.653393,
399.7929,17.091663,16.99494,16.184526,17.125,17.125,16.898216,16.898216,16.898216,16.158337,16.158337,16.158337,16.752087,16.752087,16.752087,
400.0744,16.942245,17.103512,16.442518,17.047993,17.047993,17.014507,17.014507,17.014507,16.288504,16.288504,16.288504,17.055519,17.055519,17.055519,
400.3560,16.967279,17.045099,16.481128,17.061029,17.061029,17.021814,17.021814,17.021814,16.475245,16.475245,16.475245,17.106128,17.106128,17.106128,
400.6375,17.042858,16.733029,16.416071,17.09375,17.09375,16.785708,16.785708,16.785708,16.798221,16.798221,16.798221,16.976783,16.976783,16.976783,
400.9191,17.17505,16.67002,16.33872,17.07124,17.07124,16.64248,16.64248,16.64248,16.86123,16.86123,16.86123,16.757419,16.757419,16.757419,
401.2007,17.147993,16.734672,16.3125,17.204015,17.204015,16.672172,16.672172,16.672172,16.702235,16.702235,16.702235,16.734672,16.734672,16.734672,
401.4822,17.297594,16.996563,16.559063,17.323969,17.323969,16.860094,16.860094,16.860094,16.606937,16.606937,16.606937,16.947251,16.947251,16.947251,
401.7638,16.700707,16.702396,16.650722,17.34375,17.34375,16.829085,16.829085,16.829085,16.850967,16.850967,16.850967,16.871391,16.871391,16.871391,
402.0453,16.642846,16.785692,16.79016,17.102713,17.102713,16.732154,16.732154,16.732154,17.04016,17.04016,17.04016,16.924096,16.924096,16.924096,
402.3269,16.906783,16.979522,16.979522,16.756293,16.756293,16.71875,16.71875,16.71875,16.895478,16.895478,16.895478,16.826152,16.826152,16.826152,
402.6085,17.168595,16.942226,16.711131,16.776524,16.776524,16.834298,16.834298,16.834298,16.412809,16.412809,16.412809,16.668065,16.668065,16.668065,
402.8900,17.067773,16.698046,16.597705,16.78125,16.78125,17.232862,17.232862,17.232862,16.524658,16.524658,16.524658,16.356933,16.356933,16.356933,
403.1716,16.783758,16.873328,16.562779,16.936107,16.936107,17.435828,17.435828,17.435828,16.964849,16.964849,16.964849,16.250836,16.250836,16.250836,
403.4532,16.498488,16.753779,16.854331,16.713459,16.713459,17.275204,17.275204,17.275204,17.089215,17.089215,17.089215,16.417587,16.417587,16.417587,
403.7347,16.442855,16.908035,17.247333,16.516066,16.516066,17.016969,17.016969,17.016969,16.868763,16.868763,16.868763,16.857149,16.857149,16.857149,
404.0163,16.542487,16.945928,16.662217,16.784059,16.784059,16.800915,16.800915,16.800915,16.297758,16.297758,16.297758,16.559691,16.559691,16.559691,
404.2978,16.686877,17.03125,16.425392,16.869926,16.869926,17.011485,17.011485,17.011485,16.819534,16.819534,16.819534,16.53125,16.53125,16.53125,
404.5794,16.911092,17.007038,16.620609,17.227984,17.227984,17.069538,17.069538,17.069538,17.103435,17.103435,17.103435,16.536092,16.536092,16.536092,
404.8610,16.978459,16.857446,16.925797,16.9375,16.9375,16.914095,16.914095,16.914095,16.998263,16.998263,16.998263,16.638568,16.638568,16.638568,
405.1425,17.101408,16.78125,16.765316,16.944355,16.944355,16.737092,16.737092,16.737092,16.291934,16.291934,16.291934,16.996171,16.996171,16.996171,
405.4241,16.882688,16.78125,16.406416,17.047291,17.047291,16.484458,16.484458,16.484458,16.281583,16.281583,16.281583,17.046625,17.046625,17.046625,
405.7056,16.8125,16.807794,16.553087,17.40512,17.40512,16.548946,16.548946,16.548946,16.548381,16.548381,16.548381,16.888554,16.888554,16.888554,
405.9872,16.940376,16.707777,16.56946,17.708913,17.708913,16.544567,16.544567,16.544567,16.563104,16.563104,16.563104,16.922443,16.922443,16.922443,
