,Live Spectrum 26-10-2023 13:33:34,Live Spectrum 26-10-2023 13:33:35,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:36,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:37,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:38,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:39,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:40,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:41,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:42,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:43,Live Spectrum 26-10-2023 13:33:44,Live Spectrum 26-10-2023 13:33:44,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
367.4133,17.001837,16.542279,17.141546,17.141546,16.514704,16.514704,16.862133,16.862133,16.862133,16.130512,16.130512,16.130512,16.841913,16.841913,16.841913,16.283087,16.283087,16.283087,16.310663,16.422796,16.422796,16.573529,16.573529,16.527571,16.527571,16.527571,17.292279,17.292279,17.306988,17.306988,17.306988,16.529413,16.529413,16.46875,16.46875,16.46875,16.409925,
367.6949,16.96018,16.60087,16.94884,16.94884,16.69462,16.69462,16.66614,16.66614,16.66614,16.4404,16.4404,16.4404,16.75567,16.75567,16.75567,16.24143,16.24143,16.24143,16.22442,16.40915,16.40915,16.59375,16.59375,16.81395,16.81395,16.81395,17.28692,17.28692,17.04826,17.04826,17.04826,16.48154,16.48154,16.46875,16.46875,16.46875,16.65915,
367.9764,16.783411,16.743517,16.918633,16.918633,16.677278,16.677278,16.427278,16.427278,16.427278,16.581367,16.581367,16.581367,16.704206,16.704206,16.704206,16.137383,16.137383,16.137383,16.231133,16.550117,16.550117,16.651928,16.651928,16.818983,16.818983,16.818983,17.191822,17.191822,16.981133,16.981133,16.981133,16.543633,16.543633,16.396028,16.396028,16.396028,16.931017,
368.2580,16.75,16.908921,16.985043,16.985043,16.561165,16.561165,16.360043,16.360043,16.360043,16.661591,16.661591,16.661591,16.736378,16.736378,16.736378,16.1875,16.1875,16.1875,16.493054,16.385952,16.385952,17.012017,17.012017,16.637287,16.637287,16.637287,16.929488,16.929488,17.096421,17.096421,17.096421,16.707798,16.707798,16.442841,16.442841,16.442841,16.982372,
368.5395,16.731966,16.950716,16.945897,16.945897,16.441078,16.441078,16.53731,16.53731,16.53731,16.961595,16.961595,16.961595,16.871422,16.871422,16.871422,16.205534,16.205534,16.205534,16.84981,16.371422,16.371422,17.263216,17.263216,16.670707,16.670707,16.670707,16.677862,16.677862,17.048043,17.048043,17.048043,16.956776,16.956776,16.454293,16.454293,16.454293,16.847328,
368.8211,16.73852,16.83865,16.68878,16.68878,16.35523,16.35523,16.77487,16.77487,16.77487,17.01467,17.01467,17.01467,16.9375,16.9375,16.9375,16.23852,16.23852,16.23852,17.04783,16.41773,16.41773,17.19069,17.19069,16.67092,16.67092,16.67092,16.60523,16.60523,16.65243,16.65243,16.65243,17.02296,17.02296,16.45408,16.45408,16.45408,16.80102,
369.1027,16.707002,16.609256,16.412005,16.412005,16.408248,16.408248,16.757753,16.757753,16.757753,16.753758,16.753758,16.753758,16.980498,16.980498,16.980498,16.25,16.25,16.25,17.050752,16.384751,16.384751,17.005755,17.005755,16.646499,16.646499,16.646499,16.679747,16.679747,16.167761,16.167761,16.167761,16.806507,16.806507,16.607496,16.607496,16.607496,16.855498,
369.3842,16.060501,16.345472,16.738527,16.738527,16.182056,16.182056,16.440084,16.440084,16.440084,16.842028,16.842028,16.842028,16.512334,16.512334,16.512334,16.900221,16.900221,16.900221,16.938361,16.90911,16.90911,16.751722,16.751722,16.818805,16.818805,16.818805,16.045306,16.045306,16.588583,16.588583,16.588583,16.672306,16.672306,16.609806,16.609806,16.609806,16.317667,
369.6658,16.018322,16.680272,16.924878,16.924878,16.09375,16.09375,16.543261,16.543261,16.543261,16.881311,16.881311,16.881311,16.493383,16.493383,16.493383,16.925489,16.925489,16.925489,17.030944,17.068811,17.068811,16.6875,16.6875,16.924878,16.924878,16.924878,15.887317,15.887317,16.78125,16.78125,16.78125,16.606372,16.606372,16.743383,16.743383,16.743383,16.249694,
369.9473,16.408941,17.207638,16.884201,16.884201,16.546788,16.546788,16.96684,16.96684,16.96684,16.875,16.875,16.875,16.957638,16.957638,16.957638,16.768403,16.768403,16.768403,16.955903,16.849306,16.849306,16.714149,16.714149,16.910851,16.910851,16.910851,16.65243,16.65243,16.914496,16.914496,16.914496,16.647049,16.647049,16.914496,16.914496,16.914496,16.574392,
