,Live Spectrum 26-10-2023 13:25:28,Live Spectrum 26-10-2023 13:25:32,Live Spectrum 26-10-2023 13:25:33,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:34,Live Spectrum 26-10-2023 13:25:35,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:36,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:37,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:38,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:40,Live Spectrum 26-10-2023 13:25:41,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
372.1998,39.621327,38.903731,38.72811,39.073518,39.500504,39.21407,38.601599,38.695349,39.29061,39.29061,37.340077,37.340077,37.340077,39.420291,39.420291,39.420291,38.90625,38.334893,38.346415,37.955717,
372.4814,39.23836,39.834651,38.740901,40.012205,39.270174,39.176142,39.137205,38.915631,39.009099,39.009099,37.367031,37.367031,37.367031,39.302836,39.302836,39.302836,39.000847,38.470162,38.979826,37.938347,
372.7630,38.810685,39.699441,39.019091,40.053644,39.039888,38.871479,39.409662,38.468641,38.41478,38.41478,37.954885,37.954885,37.954885,39.420115,39.420115,39.420115,39.029435,38.769091,38.699441,37.979094,
373.0445,38.700507,38.658631,38.723986,39.168783,38.657838,38.635946,39.191149,38.138801,37.661486,37.661486,37.700033,37.700033,37.700033,39.412753,39.412753,39.412753,38.891656,38.832804,38.003649,38.081217,
373.3261,39.09111,38.264682,38.066272,38.487581,38.189386,38.577559,39.171686,38.37236,37.09639,37.09639,37.342996,37.342996,37.342996,39.623491,39.623491,39.623491,38.954068,39.014682,38.277478,38.793292,
373.6076,39.14184,38.804533,38.108387,38.47474,38.253108,38.983387,39.614151,38.84974,37.540575,37.540575,37.40625,37.40625,37.40625,39.613472,39.613472,39.613472,39.011528,38.684165,38.252429,38.752429,
373.8892,38.476694,38.495988,38.350181,38.108125,38.101089,38.944839,38.810001,38.651331,38.037681,38.037681,37.01377,37.01377,37.01377,38.883246,38.883246,38.883246,38.508246,38.231613,37.725786,38.038891,
374.1708,37.576714,37.686033,38.007897,37.231385,37.245487,38.292306,37.990636,37.7861,38.142148,38.142148,36.668772,36.668772,36.668772,38.407829,38.407829,38.407829,37.646999,37.993795,37.23759,37.404783,
374.4523,36.733296,37.478082,36.988942,36.902996,36.117196,37.777564,38.231768,36.833124,37.692714,37.692714,36.3839,36.3839,36.3839,38.068146,38.068146,38.068146,37.362414,36.985688,36.689891,36.933814,
374.7339,36.594093,37.586367,36.248627,36.969093,35.898867,37.844437,36.86178,36.468407,37.39818,37.39818,36.469437,36.469437,36.469437,37.137707,37.137707,37.137707,37.155563,36.405563,36.366587,36.788977,
375.0155,36.197918,36.745714,35.697918,36.472429,36.289214,37.629903,35.093755,35.960174,36.897674,36.897674,35.928311,35.928311,35.928311,36.523286,36.523286,36.523286,36.716913,35.992036,35.860296,36.605393,
375.2970,35.880026,35.596208,35.700612,35.782725,36.535293,37.001475,34.807965,35.656742,36.407233,36.407233,35.567526,35.567526,35.567526,36.330638,36.330638,36.330638,36.464707,35.238363,36.124017,36.375492,
375.5786,35.589028,34.956358,35.60554,34.866729,36.307778,36.198689,35.010617,35.596698,36.34375,36.34375,35.361435,35.361435,35.361435,35.803056,35.803056,35.803056,36.069568,34.530648,36.130895,35.749398,
375.8601,35.203899,35.025784,34.637482,35.080084,34.876731,35.527332,34.702533,35.235149,35.775966,35.775966,35.134566,35.134566,35.134566,35.152332,35.152332,35.152332,35.9416,34.528517,35.736516,35.119716,
376.1417,33.995627,33.806253,33.839793,33.964169,34.150836,35.087295,34.061251,34.086878,34.526252,34.526252,34.683543,34.683543,34.683543,34.745002,34.745002,34.745002,35.461045,34.08667,34.65625,34.619794,
376.4233,33.290445,32.860785,33.226901,33.274143,33.331312,34.075249,33.860785,33.039401,33.770589,33.770589,34.031561,34.031561,34.031561,33.957356,33.957356,33.957356,34.236097,32.990383,34.618937,33.80999,
376.7048,32.245959,32.625,32.783641,33.112838,33.098285,33.203248,33.57157,32.626195,33.550338,33.550338,32.986642,32.986642,32.986642,33.186551,33.186551,33.186551,32.928677,32.319179,33.826351,33.246661,
376.9864,30.925834,32.517289,32.134371,32.54437,32.747705,32.773332,32.973225,32.281977,33.016141,33.016141,32.85052,32.85052,32.85052,32.617082,32.617082,32.617082,32.613334,32.252601,32.277081,33.135519,
377.2679,30.953892,31.782783,31.227713,31.192532,31.823979,32.401337,32.15625,31.665213,31.984159,31.984159,32.705857,32.705857,32.705857,32.348231,32.348231,32.348231,32.589819,31.516392,31.588837,32.571463,
377.5495,30.29665,31.027678,30.773259,30.170089,30.826339,31.525535,32.164241,31.098883,31.586473,31.586473,32.544375,32.544375,32.544375,32.021116,32.021116,32.021116,31.87799,31.106875,30.641115,31.989151,
377.8311,29.354827,30.276609,30.626114,30.118564,30.507983,30.562067,31.768193,30.864357,31.599072,31.599072,31.808972,31.808972,31.808972,31.756869,31.756869,31.756869,31.049876,30.590656,29.916213,31.317388,
378.1126,29.505251,29.580751,30.211002,30.553375,30.179752,29.951877,30.823562,31.102875,31.236441,31.236441,30.830751,30.830751,30.830751,31.699939,31.699939,31.699939,30.483127,29.923941,30.470687,30.444128,
378.3942,29.205271,29.336343,29.779915,30.392326,29.824199,29.586343,30.680093,30.67224,30.359295,30.359295,30.397507,30.397507,30.397507,31.236076,31.236076,31.236076,30.256072,29.487411,30.090634,29.760808,
378.6758,28.98589,28.952652,29.246024,29.755116,29.557482,29.31553,29.943658,29.896213,29.489963,29.489963,29.395268,29.395268,29.395268,30.782293,30.782293,30.782293,30.077652,29.426421,28.901329,29.293372,
378.9573,28.765631,28.640629,28.781254,29.187504,29.031261,29.234376,29.00001,29.156264,29.015632,29.015632,28.765626,28.765626,28.765626,30.031266,30.031266,30.031266,29.703131,29.578119,28.000007,29.046878,
379.2389,28.168431,28.174465,28.350865,28.825649,28.196664,29.016166,28.433515,28.450649,28.678449,28.678449,28.890084,28.890084,28.890084,28.81768,28.81768,28.81768,29.123064,29.387181,28.041268,28.646232,
379.5204,27.713295,27.738523,27.845454,28.227613,27.694659,28.371818,28.100909,28.299886,28.351477,28.351477,28.621249,28.621249,28.621249,27.964431,27.964431,27.964431,28.458409,28.950682,28.355796,28.462159,
379.8020,27.625,27.504199,27.354248,27.554965,27.936018,27.628581,27.697998,28.191699,28.1271,28.1271,27.920948,27.920948,27.920948,27.931201,27.931201,27.931201,28.037549,28.875,28.144515,28.640934,
380.0836,27.884495,27.588872,27.079377,27.603245,27.84388,28.336107,28.006991,28.40612,27.250391,27.250391,27.233384,27.233384,27.233384,28.074499,28.074499,28.074499,27.094141,28.63713,27.221515,28.524129,
380.3651,27.514693,27.263383,27.193019,27.302773,27.464542,28.449572,28.103201,27.445087,27.036769,27.036769,26.938811,26.938811,26.938811,27.747102,27.747102,27.747102,26.903629,28.369481,27.013659,28.229511,
380.6467,27.048679,26.756161,27.446714,26.861179,27.276643,27.753608,27.74284,27.554285,27.118339,27.118339,27.102964,27.102964,27.102964,27.206983,27.206983,27.206983,27.140875,28.164965,27.210035,27.787411,
380.9282,27.151189,26.734438,27.369686,26.963689,27.041498,27.072495,27.291371,27.661437,26.942561,26.942561,27.208376,27.208376,27.208376,26.780997,26.780997,26.780997,27.031123,28.046812,27.041498,27.791751,
381.2098,27.270091,26.392104,26.875733,26.807287,26.97247,26.445672,26.888385,26.031955,26.465763,26.465763,27.163689,27.163689,27.163689,26.74628,26.74628,26.74628,27.055061,27.838537,26.642104,27.482135,
381.4914,26.846366,26.08282,26.464593,26.143421,26.794797,26.143062,26.524835,26.218391,26.203304,26.203304,26.982297,26.982297,26.982297,26.48907,26.48907,26.48907,26.656609,27.464593,26.129874,26.886647,
381.7729,26.538466,25.818914,25.980777,25.545682,26.659457,25.729173,26.195518,27.132998,26.248396,26.248396,26.603371,26.603371,26.603371,26.072923,26.072923,26.072923,26.685896,26.798087,25.941509,26.204337,
382.0545,26.347125,25.856849,25.550831,25.692686,26.304073,25.869166,26.120462,26.384076,26.195413,26.195413,26.333378,26.333378,26.333378,25.738331,25.738331,25.738331,26.561852,26.386669,26.086619,25.98898,
382.3360,25.029158,25.031385,25.025108,25.933315,25.858126,25.583288,25.897881,26.802038,25.074919,25.074919,25.847935,25.847935,25.847935,25.200054,25.200054,25.200054,26.491495,26.889376,25.752092,25.454104,
382.6176,24.982347,25.479342,25.343224,25.846755,25.148663,25.433969,25.749474,26.575046,24.752479,24.752479,25.881536,25.881536,25.881536,25.406776,25.406776,25.406776,25.859826,26.130484,25.745944,25.225286,
382.8992,24.799082,25.507906,24.989525,25.580332,24.774267,25.376471,25.450369,25.833275,24.231619,24.231619,25.578312,25.578312,25.578312,25.601656,25.601656,25.601656,25.230148,25.457352,25.409193,24.986582,
383.1807,24.55611,25.154852,24.309704,25.362919,24.463758,25.148462,25.20028,25.153454,23.96875,23.96875,24.936102,24.936102,24.936102,25.171924,25.171924,25.171924,25.016373,25.5625,25.029852,24.692492,
383.4623,24.468764,24.828143,23.828121,25.406257,24.664068,24.796893,25.25,24.65625,23.960939,23.960939,24.718743,24.718743,24.718743,24.500028,24.500028,24.500028,24.570318,25.539068,24.742196,24.437507,
383.7439,24.216669,24.270844,23.745838,25.072627,24.43691,24.396434,25.000901,24.517862,23.9375,23.9375,24.674112,24.674112,24.674112,24.005064,24.005064,24.005064,24.370838,25.191974,24.440483,24.242265,
384.0254,23.934877,23.212848,23.363053,24.202213,23.924242,23.946824,24.065921,23.98543,23.863053,23.863053,24.205492,24.205492,24.205492,23.71875,23.71875,23.71875,24.041229,24.361086,23.712848,24.074447,
384.3070,23.844006,23.005378,23.050205,23.745389,23.692367,23.663166,23.598873,23.569672,23.441855,23.441855,23.780994,23.780994,23.780994,23.803022,23.803022,23.803022,23.927767,23.959017,23.324795,24.170594,
384.5885,23.825014,23.293764,22.902181,23.856879,23.682816,23.33469,23.986871,23.437192,22.892505,22.892505,23.719365,23.719365,23.719365,23.413464,23.413464,23.413464,23.919995,23.857187,23.660934,23.919071,
384.8701,23.038709,22.670578,23.003184,23.364446,23.400973,23.177447,24.034434,23.179039,22.631368,22.631368,23.657341,23.657341,23.657341,22.436999,22.436999,22.436999,23.91421,23.57842,23.394104,23.509552,
385.1517,22.432776,22.456077,22.726699,22.840207,23.155069,22.948992,23.676872,22.982604,22.67837,22.67837,22.874683,22.874683,22.874683,22.384447,22.384447,22.384447,23.458122,23.07163,22.691906,23.280069,
385.4332,22.224519,22.847982,22.460865,22.697211,22.808268,22.597403,22.913556,22.743942,22.650192,22.650192,22.169615,22.169615,22.169615,22.76577,22.76577,22.76577,22.923557,22.853461,22.388654,23.10923,
385.7148,22.118307,23.055807,22.444193,22.561394,22.277931,22.349336,22.284624,22.404037,22.234402,22.234402,22.146184,22.146184,22.146184,22.533517,22.533517,22.533517,22.680807,22.698672,22.318086,22.715431,
385.9963,21.564894,22.502394,22.346706,22.113528,21.544553,22.292159,22.104659,21.976141,21.798072,21.798072,21.915119,21.915119,21.915119,22.088753,22.088753,22.088753,22.412163,22.563978,21.915119,22.083756,
386.2779,20.999094,21.719551,22.042503,21.710911,20.707393,22.237841,22.223976,21.8125,21.916702,21.916702,21.349777,21.349777,21.349777,22.250906,22.250906,22.250906,21.868868,22.53125,21.349777,21.344551,
