,Live Spectrum 26-10-2023 13:19:37,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:38,,Live Spectrum 26-10-2023 13:20:43,,Live Spectrum 26-10-2023 13:20:45,,Live Spectrum 26-10-2023 13:20:46,,Live Spectrum 26-10-2023 13:21:03,,Live Spectrum 26-10-2023 13:21:04,,Live Spectrum 26-10-2023 13:21:05,
Wavelength [nm],Intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,Wavelength [nm],intensity,
391.4228,16.935929,391.3460,17.538939,391.3460,16.739137,391.3460,16.860962,391.3460,17.020387,391.3460,16.823363,391.3460,16.898561,391.3460,17.104613,391.3460,16.840575,
391.7050,16.944239,391.6276,17.487344,391.6276,16.62632,391.6276,16.828455,391.6276,16.984045,391.6276,16.951475,391.6276,16.766615,391.6276,17.09507,391.6276,16.920885,
391.9873,17.002234,391.9091,17.244468,391.9091,16.479765,391.9091,16.928329,391.9091,17.066188,391.9091,16.948515,391.9091,16.669109,391.9091,16.981609,391.9091,16.852921,
392.2696,17.034522,392.1907,17.085077,392.1907,16.370663,392.1907,17.102423,392.1907,17.125,392.1907,16.857207,392.1907,16.78514,392.1907,16.9375,392.1907,16.678827,
392.5519,17.035949,392.4723,17.202558,392.4723,16.47699,392.4723,17.194319,392.4723,17.067897,392.4723,16.805681,392.4723,17.210798,392.4723,16.823294,392.4723,16.644034,
392.8341,16.953692,392.7538,17.434118,392.7538,16.501691,392.7538,17.23902,392.7538,17.01098,392.7538,16.720441,392.7538,17.487329,392.7538,16.709461,392.7538,16.534632,
393.1164,16.945903,393.0354,17.371002,393.0354,16.44725,393.0354,16.712507,393.0354,17.107499,393.0354,17.095995,393.0354,17.165755,393.0354,16.945497,393.0354,16.49025,
393.3987,16.97525,393.3169,17.3125,393.3169,16.551121,393.3169,16.62782,393.3169,17.247147,393.3169,17.031283,393.3169,16.977276,393.3169,16.926154,393.3169,16.5,
393.6810,16.962855,393.5985,17.192783,393.5985,16.905014,393.5985,16.6875,393.5985,17.35308,393.5985,17.00933,393.5985,16.872976,393.5985,16.635566,393.5985,16.547887,
393.9632,16.896332,393.8801,17.030464,393.8801,17.050314,393.8801,16.712657,393.8801,17.173743,393.8801,17.232507,393.8801,16.793436,393.8801,16.411557,393.8801,16.461872,
