,Live Spectrum 26-10-2023 13:39:50,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:52,Live Spectrum 26-10-2023 13:39:53,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:54,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:55,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:56,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:57,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,Live Spectrum 26-10-2023 13:39:58,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
374.4523,16.793836,15.96875,16.818577,17.168836,16.809246,17.053168,16.674914,16.674914,16.652996,16.652996,16.652996,16.434246,16.434246,16.434246,17.325086,17.325086,17.325086,16.565754,16.565754,16.565754,17.068577,17.068577,16.762586,
374.7339,16.342033,16.509787,16.804773,17.11693,16.56954,17.13307,16.58568,16.58568,16.648523,16.648523,16.648523,16.453297,16.453297,16.453297,17.296703,17.296703,17.296703,16.687843,16.687843,16.687843,17.054773,17.054773,17.20467,
375.0155,16.061888,16.88848,16.71201,16.792281,16.550245,17.05576,16.713235,16.713235,16.631128,16.631128,16.631128,16.544117,16.544117,16.544117,17.331495,17.331495,17.331495,16.794117,16.794117,16.794117,17.16299,17.16299,17.620097,
375.2970,15.924388,17.017646,16.420345,16.825612,16.615931,16.924388,17.04387,17.04387,16.838724,16.838724,16.838724,16.749508,16.749508,16.749508,17.210173,17.210173,17.210173,16.946077,16.946077,16.946077,16.89363,16.89363,17.634069,
375.5786,16.13267,16.974645,16.290093,16.84375,16.540093,16.991157,17.348472,17.348472,16.790093,16.790093,16.790093,16.951065,16.951065,16.951065,16.989383,16.989383,16.989383,16.912145,16.912145,16.912145,16.815448,16.815448,17.257068,
375.8601,16.186133,17.267584,16.430667,17.441418,16.979501,17.1793,17.10605,17.10605,16.96055,16.96055,16.96055,17.2377,17.2377,17.2377,17.656068,17.656068,17.656068,16.398232,16.398232,16.398232,16.573433,16.573433,17.368167,
376.1417,16.000625,17.247918,16.594166,17.310418,16.999584,17.060209,17.187292,17.187292,17.282708,17.282708,17.282708,16.907291,16.907291,16.907291,17.591043,17.591043,17.591043,16.688749,16.688749,16.688749,16.594999,16.594999,17.124167,
376.4233,16.102634,16.930393,16.659804,17,16.914401,16.716973,17.143812,17.143812,17.491116,17.491116,17.491116,17.080268,17.080268,17.080268,17.169732,17.169732,17.169732,16.892768,16.892768,16.892768,16.783027,16.783027,17.001777,
376.7048,16.280055,16.792464,16.722089,16.983303,16.521232,16.697518,16.88073,16.88073,17.296998,17.296998,17.296998,17.348285,17.348285,17.348285,16.851624,16.851624,16.851624,17.177482,17.177482,17.177482,16.792464,16.792464,17.021232,
376.9864,16.550834,16.629896,16.715728,16.86823,16.481564,16.791042,16.40625,16.40625,16.891562,16.891562,16.891562,17.051561,17.051561,17.051561,16.65625,16.65625,16.65625,17.083958,17.083958,17.083958,16.615208,16.615208,16.96198,
