,Live Spectrum 26-10-2023 13:31:25,Live Spectrum 26-10-2023 13:31:27,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:28,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:29,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:30,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:31,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,Live Spectrum 26-10-2023 13:31:32,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
370.7920,16.529771,16.868099,16.868099,16.499507,16.622043,16.622043,16.9722,16.9722,17.154278,17.154278,17.154278,17.245564,17.245564,17.245564,17.304613,17.245071,17.245071,17.245071,17.244085,17.244085,17.244085,
371.0736,16.430966,16.433144,16.433144,16.466572,16.4375,16.4375,17.200568,17.200568,17.024716,17.024716,17.024716,16.925189,16.925189,16.925189,16.795076,16.904829,16.904829,16.904829,16.868466,16.868466,16.868466,
371.3552,16.347607,16.417427,16.417427,16.472213,16.487641,16.487641,17.301717,17.301717,16.925929,16.925929,16.925929,16.38232,16.38232,16.38232,16.574071,16.588317,16.588317,16.588317,16.761965,16.761965,16.761965,
371.6367,16.36947,16.72428,16.72428,16.702161,16.84375,16.84375,16.78678,16.78678,16.84928,16.84928,16.84928,16.689428,16.689428,16.689428,16.683899,17.404322,17.404322,17.404322,16.575233,16.575233,16.575233,
371.9183,16.473283,16.778785,16.778785,16.625,16.84375,16.84375,16.834089,16.834089,16.882196,16.882196,16.882196,16.879731,16.879731,16.879731,16.841285,17.163645,17.163645,17.163645,16.386928,16.386928,16.386928,
372.1998,16.968246,16.82186,16.82186,16.625,16.852607,16.852607,16.87968,16.87968,16.915107,16.915107,16.915107,16.982287,16.982287,16.982287,16.9375,16.813004,16.813004,16.813004,16.575533,16.575533,16.575533,
372.4814,17.093468,16.666478,16.666478,16.635511,16.917043,16.917043,16.770457,16.770457,17.000565,17.000565,17.000565,16.895457,16.895457,16.895457,16.905968,16.635228,16.635228,16.635228,16.761076,16.761076,16.761076,
372.7630,17.055568,16.600682,16.600682,16.717044,17.036476,17.036476,16.651024,16.651024,17.112841,17.112841,17.112841,16.739547,16.739547,16.739547,16.782956,16.642385,16.642385,16.642385,16.918409,16.918409,16.918409,
373.0445,17.024747,16.631503,16.631503,16.964308,17.148953,17.148953,16.662753,16.662753,17.107551,17.107551,17.107551,16.721605,16.721605,16.721605,16.728902,16.732551,16.732551,16.732551,16.799493,16.799493,16.799493,
373.3261,16.906627,16.765059,16.765059,17.264305,17.280496,17.280496,16.904364,16.904364,17.094127,17.094127,17.094127,16.951805,16.951805,16.951805,16.858432,16.780873,16.780873,16.780873,16.547818,16.547818,16.547818,
